,Open,High,Low,Close,Volume
2002-08-12,440.2164753050799,449.6545696001706,440.2164753050799,443.4440002441406,50600
2002-08-13,444.51981497077,444.51981497077,435.47293204782255,437.5268249511719,25600
2002-08-14,406.8651851556544,439.14054840117507,406.8651851556544,425.2523498535156,105200
2002-08-15,425.2523498535156,425.2523498535156,425.2523498535156,425.2523498535156,0
2002-08-16,403.44213702260754,431.3163210350786,403.44213702260754,418.25946044921875,143100
2002-08-19,420.5578356235782,421.9270877235589,415.7165183675332,420.21551513671875,68300
2002-08-20,422.61164718624667,433.12559104896394,415.66754806091524,428.0397644042969,53900
2002-08-21,435.22844400980546,435.22844400980546,424.5188782238401,425.3991394042969,33600
2002-08-22,420.65563638254815,429.1156890112269,417.91710239605385,418.7484436035156,123100
2002-08-23,417.62366611436767,419.4819387528799,409.31031444698567,410.63067626953125,170900
2002-08-26,410.2883852691011,415.66761320469124,405.3981780549283,408.5768127441406,136900
2002-08-27,410.7774140669061,410.7774140669061,407.10975858416583,408.0389099121094,158200
2002-08-28,430.33829674230145,430.33829674230145,403.9311739876602,408.72357177734375,70400
2002-08-29,393.9061864772168,410.728511035462,393.9061864772168,408.91912841796875,77100
2002-08-30,408.8213439986231,410.77742698426243,400.01897056324606,409.261474609375,54900
2002-09-02,410.7774026648496,414.591758291532,399.5788162960755,406.66961669921875,128100
2002-09-03,409.79938810826593,409.79938810826593,403.539928483741,406.96307373046875,109700
2002-09-04,405.8871917815815,410.77739891148013,404.420129642612,409.0658264160156,66200
2002-09-05,410.77740928528374,415.66761653867997,409.11472688014646,410.4840087890625,82800
2002-09-06,410.7773860774751,410.7773860774751,406.9630306048181,409.946044921875,43500
2002-09-09,410.7774365859035,411.1197570858834,407.79442190206066,410.67962646484375,52200
2002-09-10,410.67962646484375,410.67962646484375,410.67962646484375,410.67962646484375,0
2002-09-11,410.7774083113088,413.7115326563896,409.79936686294855,410.53289794921875,33700
2002-09-12,410.7774645304895,411.75550611270495,408.08785017939704,410.8752746582031,35100
2002-09-13,408.8703276859485,415.6677295553094,408.8703276859485,411.1687316894531,80300
2002-09-16,410.77740575813164,414.44506116668634,408.08779179185814,410.728515625,13100
2002-09-17,412.733517887633,412.733517887633,398.3074055917975,404.46905517578125,54100
2002-09-18,400.9969473297861,406.8651953394903,387.01096817897223,392.5368957519531,63100
2002-09-19,392.19457504132674,393.1726163755944,367.30341114523395,375.4700622558594,188200
2002-09-20,366.76559522265165,374.10090712710473,366.76559522265165,368.8194885253906,165500
2002-09-23,366.76545743606704,373.12272536495885,358.2075967625588,363.5379333496094,106400
2002-09-24,363.8314182888954,375.4212154054926,362.75556672768965,372.4870910644531,110800
2002-09-25,374.3942633602085,378.89326009870797,370.67771770740205,376.05694580078125,45200
2002-09-26,371.6556988046656,382.41415324374805,371.6556988046656,373.9051818847656,30700
2002-09-27,371.6557393928184,393.1726506208237,371.6557393928184,390.18963623046875,123900
2002-09-30,386.37525936515004,396.10678364301646,379.528969277493,381.0938415527344,86100
2002-10-01,376.59480803909275,381.43612463692733,360.0659152743165,370.92218017578125,137700
2002-10-02,370.92218017578125,370.92218017578125,370.92218017578125,370.92218017578125,0
2002-10-03,376.5460198759458,376.5460198759458,358.1588495456633,359.87042236328125,73400
2002-10-04,358.9901261695187,366.5699479113547,352.87736670029614,358.0610046386719,76300
2002-10-07,356.98519024048267,364.3205023687118,355.1269171374903,359.6748046875,99300
2002-10-08,358.941216680119,379.43119725520114,358.941216680119,376.30145263671875,103800
2002-10-09,380.9471363121041,387.30440559587475,377.6706915579004,383.5878601074219,79900
2002-10-10,384.37036223067815,400.01902837747417,384.37036223067815,396.84039306640625,181900
2002-10-11,371.75353612714457,396.8891817941829,371.75353612714457,391.16766357421875,139700
2002-10-14,392.1946092013689,397.0848162986428,387.5000223269681,390.18963623046875,46600
2002-10-15,390.18963623046875,390.18963623046875,390.18963623046875,390.18963623046875,0
2002-10-16,390.7275637681195,393.17266742123667,386.32637719250863,389.0159912109375,51800
2002-10-17,386.32632096910083,395.8133337015002,382.65866602319164,386.5708312988281,76200
2002-10-18,385.34836413797706,409.79940247160505,385.34836413797706,393.3683166503906,55600
2002-10-21,396.10681990153626,400.94813741709413,394.15073684029414,395.5199890136719,79900
2002-10-22,400.99693829862025,400.99693829862025,372.92714067873595,378.2085876464844,154600
2002-10-23,373.7585730411763,396.2046385933875,373.7585730411763,392.83038330078125,380500
2002-10-24,392.09687052159313,404.81141129082266,386.32643106505043,399.9701232910156,287400
2002-10-25,400.8991568527979,408.72348791544323,392.879235422059,401.82830810546875,97600
2002-10-28,402.9530412366613,405.88716532333603,396.1556418302167,398.16064453125,83500
2002-10-29,399.040899431231,417.42806619153106,397.08481659088187,411.3642272949219,272900
2002-10-30,412.635652874449,425.93702163198816,392.1945939711303,412.48895263671875,272300
2002-10-31,410.77738263965705,415.66758957584346,403.9310929289961,414.4450378417969,99000
2002-11-01,415.66760629927563,436.2064762575928,414.20054415939586,432.34320068359375,448800
2002-11-04,431.3163026227419,441.09671764820087,429.1157092420136,438.45599365234375,55500
2002-11-05,438.1625518616878,438.1625518616878,423.9809514108073,426.4749450683594,122300
2002-11-06,426.4749450683594,426.4749450683594,426.4749450683594,426.4749450683594,0
2002-11-07,423.5897769994939,424.2743881367847,416.64567642295316,419.7754211425781,141900
2002-11-08,417.1835641347853,427.89312983770566,417.1835641347853,423.491943359375,127700
2002-11-11,430.33822155873713,430.33822155873713,420.65561754315655,426.4260559082031,50000
2002-11-12,422.56284311712096,429.3602438829534,422.56284311712096,426.2794189453125,41400
2002-11-13,424.56780505569964,439.0428067690456,424.56780505569964,433.37017822265625,306000
2002-11-14,436.20642232646117,436.20642232646117,425.83917851692485,429.70245361328125,133600
2002-11-15,433.7613738639312,449.89905744624207,429.3601874323919,442.8571472167969,376500
2002-11-18,444.0797151168595,445.986907912045,438.504896676433,441.7813415527344,104300
2002-11-19,441.7813415527344,441.7813415527344,441.7813415527344,441.7813415527344,0
2002-11-20,441.09665388929125,445.9868606951592,438.26033991137854,442.9060363769531,98400
2002-11-21,393.0259166874443,469.9488617642821,393.0259166874443,467.16143798828125,259400
2002-11-22,461.24444285885914,474.3501948501757,458.70152862831424,463.5428466796875,131600
2002-11-25,454.7892539010022,473.3720406195378,454.7892539010022,466.96588134765625,62500
2002-11-26,469.4598762883192,484.1304974223292,458.2612902170429,462.61358642578125,231600
2002-11-27,462.61356018797755,464.863043361961,452.8820367820398,455.9139709472656,121300
2002-11-28,461.34216917072587,466.4279668603122,456.74536236426553,460.90203857421875,97700
2002-11-29,460.90203857421875,460.90203857421875,460.90203857421875,460.90203857421875,0
2002-12-02,474.35010487065654,489.02072667077994,465.54773179058253,467.5038146972656,173800
2002-12-03,474.1545259410667,474.1545259410667,462.22243707945836,468.9220275878906,173700
2002-12-04,474.3501026465724,476.30618554408403,466.5257710565258,469.7532958984375,340900
2002-12-05,471.4159649808536,471.4159649808536,458.21240579570514,462.2223815917969,146300
2002-12-06,466.52583208578795,469.2643365615632,454.05580198286594,459.2394104003906,174800
2002-12-09,467.50380522380385,470.43792952437167,459.8750939813099,463.9339599609375,116800
2002-12-10,455.86519036018046,513.4718339521806,455.86519036018046,467.2593688964844,54500
2002-12-11,472.2961804883174,472.2961804883174,453.3221835228705,454.78924560546875,242700
2002-12-12,454.7892085272549,465.98779345040145,449.9968120843076,459.53271484375,271300
2002-12-13,455.2782355396568,466.5257107463293,455.2782355396568,465.498779296875,73300
2002-12-16,552.5933822948748,552.5933822948748,451.85511968182686,469.80218505859375,323300
2002-12-17,449.8990022100884,475.13245604723863,449.8990022100884,470.193359375,143300
2002-12-18,470.1933493195429,474.74123534035084,459.679405471004,473.0296630859375,99500
2002-12-19,476.3061805499445,485.0596633635101,470.8780625052468,482.8101501464844,222400
2002-12-20,481.19635562327124,484.81512064315956,475.3769975136423,478.7023620605469,71700
2002-12-23,479.72933382096807,481.1475058701248,474.35010581685935,480.12054443359375,55100
2002-12-24,481.1963713392499,482.66343344699146,476.3550544447205,477.5776062011719,100300
2002-12-25,477.5776062011719,477.5776062011719,477.5776062011719,477.5776062011719,0
2002-12-26,476.2083958171751,484.0327277421973,476.2083958171751,481.0497131347656,82200
2002-12-27,481.1474872378773,498.2142920633521,479.2402945349296,496.2582092285156,266500
2002-12-30,497.8231016457105,498.8011431027748,489.1185386473299,490.6344909667969,75000
2002-12-31,484.2283083226007,498.3120986647331,484.2283083226007,492.24822998046875,108100
2003-01-01,490.97677292882366,500.70829660215156,489.9987315484874,497.57855224609375,112700
2003-01-02,498.8011630267266,500.26822527092287,490.14548981647715,491.4169616699219,75900
2003-01-03,491.95492950981185,499.7792623847194,484.13059663490435,495.8670959472656,158400
2003-01-06,498.80114180446566,498.80114180446566,488.1404959197046,490.7322998046875,141300
2003-01-07,498.5077742081871,498.5077742081871,482.2233590377301,484.2772521972656,89100
2003-01-08,483.15246475675855,490.2432650998486,483.15246475675855,487.4558410644531,131100
2003-01-09,489.1674026728083,490.8789751313188,481.34307143390316,483.9837951660156,155800
2003-01-10,486.08654405351956,490.7811305279326,478.3600234676323,484.228271484375,151300
2003-01-13,484.13055193889704,489.02075953423946,406.32736103598296,484.2772521972656,61500
2003-01-14,488.825136493802,504.1804001942794,484.3750595464925,499.2413024902344,315000
2003-01-15,503.6913215253663,506.4298255092407,485.01072479639083,492.5905456542969,578400
2003-01-16,503.6914440921094,526.5776423230021,503.6914440921094,517.8241577148438,679900
2003-01-17,513.4717493408762,522.1273920946578,508.9238328258924,512.8359985351562,229600
2003-01-20,504.7672660170549,522.2742352333717,504.7672660170549,517.8241577148438,260100
2003-01-21,513.5205760682097,518.3618924746423,504.9627146358453,508.777099609375,67500
2003-01-22,510.53759828294,510.53759828294,502.71326727477236,504.1314392089844,54900
2003-01-23,501.7353123505016,506.6255200732161,500.072629785795,502.3710632324219,26100
2003-01-24,503.6913535256337,506.6254779151034,497.82310474669424,501.0017395019531,195000
2003-01-27,503.2022625258047,504.66932451567584,497.43182466846866,501.5884704589844,145900
2003-01-28,502.5177176823954,502.71333792407296,495.37802657304076,499.2413024902344,172200
2003-01-29,498.80109985223936,507.603472202573,498.80109985223936,504.2292175292969,116500
2003-01-30,503.7403197755457,508.53274754711964,502.27325735913604,504.1804504394531,127300
2003-01-31,503.6913377754815,506.13644135691584,500.02368240332993,502.1264953613281,23900
2003-02-03,503.69133465277355,513.471748917876,501.78414193209636,504.42486572265625,102700
2003-02-04,512.8359678096684,523.2521322644853,505.64738762754934,519.2910766601562,255100
2003-02-05,513.5206082069533,526.8708967549326,509.8040629484212,523.5455322265625,221700
2003-02-06,509.5597613586922,542.2263803026542,509.5597613586922,537.9718627929688,319500
2003-02-07,530.098485019393,541.1992319993055,513.4717797697073,531.8589477539062,119800
2003-02-10,523.2522027565765,531.0765347604132,521.2961197556174,522.909912109375,81300
2003-02-11,519.3400106967641,528.1423837594211,512.4937205369197,516.2102661132812,142000
2003-02-12,530.0985196816521,530.0985196816521,507.60356404940484,508.43487548828125,112900
2003-02-13,508.43487548828125,508.43487548828125,508.43487548828125,508.43487548828125,0
2003-02-14,518.3620756140302,518.3620756140302,505.647534136705,513.178466796875,142800
2003-02-17,519.2422116754173,521.2471846394013,509.2661772924079,511.1244201660156,87200
2003-02-18,511.51574098047087,516.3081685502253,506.6744232712128,507.70135498046875,137500
2003-02-19,518.3620582132502,521.1984027871032,507.8970009480735,510.1954345703125,184000
2003-02-20,515.3790063504597,515.4278964889417,508.6793859207015,512.6893920898438,171200
2003-02-21,512.4937133789062,514.3030661607716,508.58154762792225,512.4937133789062,135700
2003-02-24,512.4937323168077,515.1833463699971,508.1414358190276,509.0705871582031,105000
2003-02-25,508.5815155308981,508.5815155308981,501.7841160285708,504.1314392089844,117000
2003-02-26,503.69137077427854,504.1803915226031,488.0915969637425,493.4708251953125,195700
2003-02-27,496.84502490560703,505.5496171332948,494.8889421303881,499.43682861328125,153300
2003-02-28,498.8011275202224,532.0545360215706,494.8889618141814,504.42486572265625,140500
2003-03-03,511.5156800160205,511.5156800160205,499.82807271147107,501.3929748535156,89200
2003-03-04,500.12146320451683,500.12146320451683,489.16738786271463,491.36798095703125,95800
2003-03-05,489.0207340422668,503.6913560635348,484.1305267018441,496.6005554199219,110400
2003-03-06,503.6913203940972,504.4737415741741,493.66639605615643,494.7911376953125,55300
2003-03-07,489.02067440545153,492.83502969632343,485.3041292189514,488.0426330566406,116300
2003-03-10,488.72730641978643,495.86699680161655,471.1225609712083,473.0786437988281,125100
2003-03-11,470.4379167041424,478.21335782773554,456.10961606299793,466.9169616699219,179300
2003-03-12,467.50384350671146,473.3720925883856,458.70146988420015,461.29327392578125,204300
2003-03-13,462.61360277451575,465.54772710500947,458.505816772842,461.4888610839844,125900
2003-03-14,461.4888610839844,461.4888610839844,461.4888610839844,461.4888610839844,0
2003-03-17,460.65751992905683,475.32814158284845,457.96790595919504,472.05169677734375,199900
2003-03-18,472.05169677734375,472.05169677734375,472.05169677734375,472.05169677734375,0
2003-03-19,475.3281519642988,479.24031782408724,471.02477548802284,473.4698791503906,193500
2003-03-20,474.35008259801623,489.02070370929505,471.90497907946974,488.1404724121094,80900
2003-03-21,488.1404724121094,488.1404724121094,488.1404724121094,488.1404724121094,0
2003-03-24,489.99877448809633,502.1265125450087,485.2063772739716,490.3410949707031,43100
2003-03-25,478.2622250487394,488.53165932892705,477.28418368872155,481.2452392578125,79900
2003-03-26,479.28919611300006,492.9328861507993,479.28919611300006,486.9668273925781,188600
2003-03-27,484.13054406307884,484.13054406307884,474.3501290315015,478.5068054199219,195900
2003-03-28,486.96682609764486,488.0426776491281,473.4698661898177,478.6045837402344,205800
2003-03-31,477.28420054117834,477.28420054117834,464.56966241200763,469.4598693847656,149200
2003-04-01,469.36217872934253,476.30628036743616,461.6356557154618,469.6556091308594,164500
2003-04-02,464.5697062816361,478.262287098358,464.5697062816361,470.6335754394531,162300
2003-04-03,517.383950333361,517.383950333361,464.912030149006,476.6974182128906,41100
2003-04-04,470.43788901423585,502.71325354120006,470.43788901423585,492.297119140625,76600
2003-04-07,491.1235239063452,511.2711843923003,491.1235239063452,498.26324462890625,160700
2003-04-08,494.00873049981334,508.58154178532476,493.9109203876712,504.42486572265625,111400
2003-04-09,499.8770297337822,503.69138571436037,489.55867372960506,496.6983947753906,63800
2003-04-10,494.8889815984988,508.5815621170343,494.8889815984988,498.8011474609375,134900
2003-04-11,506.5765913273016,506.5765913273016,488.9229248852641,496.5516662597656,89700
2003-04-15,489.9987957912355,494.8890033340622,482.32116397950597,486.7712707519531,221000
2003-04-16,485.10857575309535,491.3191451420065,482.2233414381615,485.4997863769531,123100
2003-04-17,488.9718146183323,498.80111884482176,466.5746424628262,471.0736389160156,243600
2003-04-18,471.0736389160156,471.0736389160156,471.0736389160156,471.0736389160156,0
2003-04-21,469.459864709125,477.2841957876104,462.61357501545024,467.6504821777344,86600
2003-04-22,467.01483197353645,471.4160188717164,463.6405767459483,464.8631286621094,182900
2003-04-23,465.05876090717817,466.0368024653426,455.76736610461626,459.8751525878906,271200
2003-04-24,462.61356689052417,473.37202193448985,460.16846347144104,466.0856018066406,214600
2003-04-25,467.50386752405825,472.2962652174698,463.5428111294178,465.9879150390625,183600
2003-04-28,477.2841817490802,477.2841817490802,465.49879534774107,470.7312927246094,61800
2003-04-29,470.4379183497509,489.02070514527117,470.4379183497509,485.8909606933594,209700
2003-04-30,484.3260685982874,487.06457232700865,471.3670212421973,472.296142578125,77300
2003-05-01,472.296142578125,472.296142578125,472.296142578125,472.296142578125,0
2003-05-02,472.39402881006896,478.65348823267783,463.88505610369987,469.16650390625,177500
2003-05-05,474.643509968199,478.2622753196205,463.83616374300624,469.3132019042969,159700
2003-05-06,469.94888094872545,480.2183153919338,469.94888094872545,474.3500671386719,96800
2003-05-07,475.32816034610914,476.3062018283028,468.5307601058804,472.883056640625,277600
2003-05-08,460.6575151891456,471.8071815618121,457.9190111142647,463.9339599609375,241700
2003-05-09,464.66747568266493,471.0247447905067,460.1684792676244,465.0097961425781,96800
2003-05-12,461.73339797657707,476.25732021657325,461.73339797657707,468.0906677246094,103300
2003-05-13,470.92693710394104,476.257274706924,463.1026058540313,466.96588134765625,113800
2003-05-14,460.6575337053492,471.9050106429533,458.79926087645384,466.86810302734375,306500
2003-05-15,461.6356295650415,466.5258375053491,449.4101097142724,454.6915283203125,412700
