,Open,High,Low,Close,Volume
2002-07-01,1.3799257995303384,1.4346693586282957,1.369578398615781,1.4206491708755493,66107844
2002-07-02,1.4199815410243841,1.4406769711627787,1.3936113185550674,1.3999536037445068,53452773
2002-07-03,1.4076308908982964,1.4076308908982964,1.356560122973788,1.368910789489746,25342020
2002-07-04,1.3625684580688386,1.3872691599591174,1.348882806284051,1.3622347116470337,18499041
2002-07-05,1.3568933572053903,1.3819284272201533,1.3568933572053903,1.3705790042877197,16883757
2002-07-08,1.380926707189497,1.3822624805955506,1.3485488960728989,1.3568936586380005,10296792
2002-07-09,1.3568934925326392,1.3819285650442286,1.3452103221278786,1.3515526056289673,20924145
2002-07-10,1.3545568945988227,1.36123292648238,1.3218451735233785,1.3251827955245972,10935639
2002-07-11,1.3251824398505636,1.3485487815359116,1.2851265744525122,1.2908012866973877,20377566
2002-07-12,1.3064901435689718,1.3218453976881075,1.292804488614704,1.303820013999939,18052551
2002-07-15,1.3018162959962953,1.3084922475063747,1.2550843990614595,1.2901338338851929,13241250
2002-07-16,1.281120967756019,1.3285210730439196,1.2724423792940167,1.3111631870269775,20203821
2002-07-17,1.3084921357305086,1.3131655298738174,1.2123583003788776,1.2330538034439087,33077187
2002-07-18,1.234388952524994,1.286461657076309,1.234388952524994,1.274444818496704,21906027
2002-07-19,1.2677689767264653,1.4042931604068964,1.252748261118956,1.3869353532791138,178203861
2002-07-22,1.3525539629587233,1.4146410301578605,1.3168377438203793,1.350217580795288,241586829
2002-07-23,1.3345287889122048,1.4536950054883102,1.3185066768293037,1.4353365898132324,245092122
2002-07-24,1.4086327057761403,1.4366716564894846,1.3492163950641751,1.362902045249939,153412974
2002-07-25,1.3886043839587836,1.4617063244661146,1.3832633402902323,1.4343348741531372,152682354
2002-07-26,1.4146413872510273,1.4346693260067958,1.315168556074973,1.3305237293243408,72129618
2002-07-29,1.3398695607239284,1.3472130839340932,1.2383948273278378,1.2864617109298706,105033753
2002-07-30,1.3198415155884566,1.3351966837618916,1.1960018463296762,1.2283804416656494,41241321
2002-07-31,1.2016768343033002,1.3084924706182377,1.118227386804244,1.2727762460708618,119529828
2002-08-01,1.320509483541719,1.320509483541719,1.2297165053504169,1.2400639057159424,63843021
2002-08-02,1.228046541478459,1.2383945677455743,1.1699660182910474,1.2003413438796997,48163401
2002-08-05,1.1976716814762582,1.257755493711919,1.1976716814762582,1.2307177782058716,40581486
2002-08-06,1.2143608895779325,1.2951401055917464,1.2023439734962889,1.2891323566436768,62228331
2002-08-07,1.3091604719502272,1.4253221720516491,1.2951402880803562,1.387602686882019,164726298
2002-08-08,1.3919422482861616,1.4012890369495503,1.3308572119971798,1.3455440998077393,67887567
2002-08-09,1.3752526746428164,1.415308542600836,1.3502175995928622,1.406295657157898,92680236
2002-08-12,1.4119703514927309,1.4416788225126462,1.378590512622491,1.426323652267456,71447013
2002-08-13,1.4156416963011864,1.4453495233055575,1.4019560521959689,1.409967064857483,61183089
2002-08-14,1.3946128288592277,1.4113025077799803,1.3855997876949995,1.394946575164795,42146973
2002-08-15,1.394946575164795,1.394946575164795,1.394946575164795,1.394946575164795,0
2002-08-16,1.3986181895749463,1.4179784704892622,1.3659056919373322,1.3739168643951416,37533573
2002-08-19,1.3819288742383413,1.3996197978810823,1.3689107155592308,1.3752528429031372,26254404
2002-08-20,1.3879371074196527,1.3879371074196527,1.337199463764637,1.3485488891601562,28631097
2002-08-21,1.351886597728338,1.3819288162645493,1.3515528513272528,1.3612327575683594,20480427
2002-08-22,1.367908279540403,1.4179784207994568,1.3635694198650334,1.3976167440414429,84163266
2002-08-23,1.4029580096578935,1.431330866260038,1.4009547433437999,1.4163100719451904,48241116
2002-08-26,1.411970120660122,1.4486883628703264,1.395280440317773,1.427659034729004,32773158
2002-08-27,1.4219847402949057,1.4340010293664316,1.391942520642093,1.413973093032837,52630182
2002-08-28,1.4019566317363588,1.4420124994828398,1.3819286978631184,1.3989521265029907,43540398
2002-08-29,1.3946130964576773,1.3952805891968902,1.343207804000224,1.350217580795288,33561891
2002-08-30,1.3415385543309049,1.355558581825134,1.3098280768499706,1.3442093133926392,36358542
2002-09-02,1.3545566224584675,1.371246935178491,1.2918026917266276,1.2994799613952637,30129264
2002-09-03,1.3018163476823794,1.324515040688798,1.2527481454685896,1.2661000490188599,56147058
2002-09-04,1.248408716439247,1.3128321784493386,1.241732763491271,1.2921366691589355,59432967
2002-09-05,1.3018163368614413,1.3201753813636758,1.2891325564743605,1.2944728136062622,19440234
2002-09-06,1.2934714110032692,1.2934714110032692,1.23739343598775,1.2554181814193726,27017199
2002-09-09,1.248408845441161,1.248408845441161,1.1349171608694621,1.1612873077392578,64503648
2002-09-10,1.1612873077392578,1.1612873077392578,1.1612873077392578,1.1612873077392578,0
2002-09-11,1.1642919618632472,1.2150289919207653,1.161621202066348,1.198673129081726,61583940
2002-09-12,1.228545030861753,1.2518939318040048,1.2161838861487937,1.2196178436279297,26577144
2002-09-13,1.2154973592171692,1.2573872507968784,1.2017629060907886,1.220647931098938,33511500
2002-09-16,1.2336954301606604,1.2374726937109297,1.1488849345410745,1.1615893840789795,31464477
2002-09-17,1.1725774948154752,1.193179135900021,1.126910334639713,1.1461386680603027,39577032
2002-09-18,1.156439580226444,1.1770412171680689,1.1234767990298602,1.1327472925186157,27768510
2002-09-19,1.1330903627874962,1.137897626180744,1.0730020827659454,1.093260407447815,35977491
