,Open,High,Low,Close,Volume
2002-07-01,261.0821533203125,261.0821533203125,256.937992156498,261.0821533203125,4610
2002-07-02,265.22626347862905,269.37042384548266,262.0020945721222,264.49688720703125,3620
2002-07-03,261.9109890700721,261.9109890700721,259.01007621644794,261.0987243652344,520
2002-07-04,263.5686460433468,263.5686460433468,256.93798828125,256.93798828125,2270
2002-07-05,256.9380758275048,263.15431959752505,256.9380758275048,261.8116149902344,6020
2002-07-08,263.15423402143915,269.3704757699771,262.73981790486994,265.872802734375,4140
2002-07-09,271.7740325680397,272.6857529101153,256.9379434715372,262.06011962890625,2810
2002-07-10,269.2875853513658,269.3704736328125,259.01007080078125,259.01007080078125,1940
2002-07-11,258.1812618537731,263.15425566155045,256.93801340182875,257.766845703125,440
2002-07-12,261.08222221985426,265.22638447731225,260.25338976836264,261.1070861816406,8990
2002-07-15,263.07134562015295,263.15423390221974,260.8335137680646,261.0821533203125,15300
2002-07-16,265.1434262020602,265.226314484127,261.0821533203125,261.0821533203125,4010
2002-07-17,257.77504600720425,261.08207756226386,248.64959767834654,255.82728576660156,2560
2002-07-18,258.8442666189351,258.8442666189351,248.64964143757433,251.3682098388672,500
2002-07-19,261.08204119502545,261.08204119502545,251.13605867331023,259.42437744140625,120
2002-07-22,256.9628327229732,256.9628327229732,252.79380798339844,252.79380798339844,5270
2002-07-23,253.70553767198814,253.70553767198814,253.2993927001953,253.2993927001953,70
2002-07-24,253.62261962890625,253.62261962890625,252.7937875386157,253.62261962890625,300
2002-07-25,253.62261962890625,253.62261962890625,253.62261962890625,253.62261962890625,0
2002-07-26,248.64964015995952,252.7938008292922,248.64964015995952,249.72711181640625,3590
2002-07-29,248.7325853577309,250.30736171369492,248.69112856518004,248.7242889404297,1680
2002-07-30,248.6496041271391,259.4244203059818,248.6496041271391,254.8161163330078,4070
2002-07-31,249.06409395621566,253.6226713830349,248.65797424316406,248.65797424316406,5560
2002-08-01,249.89288640498324,250.22441419714528,246.6604461669922,246.6604461669922,3360
2002-08-02,252.62803493627777,252.62803493627777,246.90909803026597,248.0694580078125,200
2002-08-05,248.64962768554685,249.06404373168942,248.64962768554685,248.64962768554688,980
2002-08-06,249.47850036621094,249.47850036621094,249.47850036621094,249.47850036621094,100
