,Open,High,Low,Close,Volume
1996-01-01,7.11790606020422,7.1622314686995,7.113582007305634,7.1611504554748535,208125
1996-01-02,7.161150500376198,7.308179125447373,6.810876695914973,7.070339202880859,1623750
1996-01-03,7.0703382360154725,7.200069085129303,6.994661134108882,7.020606994628906,721875
1996-01-04,7.020607498120851,7.016283445476361,6.810876252981753,6.947093963623047,620625
1996-01-05,6.94709445402207,7.005473808385187,6.897363978815374,6.9297966957092285,350625
1996-01-08,6.929796325059858,6.908175288210684,6.78925455937022,6.810876369476318,645000
1996-01-09,6.810876629216581,6.886552967473925,6.726551411935579,6.829254627227783,903750
1996-01-10,6.8292530760634556,6.983849530383302,6.83249688824614,6.885470390319824,455625
1996-01-11,6.885470917174885,6.983850064766033,6.881146091685977,6.9557414054870605,110625
1996-01-12,7.135205456329048,7.135205456329048,7.0216905481570935,7.076826095581055,543750
1996-01-15,7.076824823528467,7.064932905496707,6.908175171504216,7.044392108917236,436875
1996-01-16,7.044392585395395,7.567640880469563,7.0487166383332704,7.2552056312561035,746250
1996-01-17,7.255205127835962,7.156825197755988,7.0541219882950825,7.061689853668213,270000
1996-01-18,7.061691659763654,7.091961582484182,6.962230691086122,7.049798965454102,163125
1996-01-19,7.0497964777666295,7.112500647724238,7.021688591836513,7.071418285369873,183750
1996-01-22,7.071416956949875,7.1784457350622715,7.043308303043351,7.15682315826416,318750
1996-01-23,7.156825434452264,7.156825434452264,6.810876467762389,6.895201683044434,376875
1996-01-24,6.895199041385183,6.896280054166242,6.400059231226297,6.511411666870117,556875
1996-01-25,6.511412986317648,6.594657173380608,6.401141541109909,6.422763347625732,245625
1996-01-26,6.422763347625732,6.422763347625732,6.422763347625732,6.422763347625732,0
1996-01-29,6.422764173273154,6.583847116477357,6.356818118876592,6.547089576721191,298125
1996-01-30,6.547090111520832,6.691956709586994,6.35681863813389,6.438981056213379,451875
1996-01-31,6.438981022205898,6.594658524980594,6.4876304834657885,6.546009063720703,183750
1996-02-01,6.546007401379069,6.756820391208259,6.401141227494888,6.739523410797119,198750
1996-02-02,6.739524239317432,7.005472788429267,6.5006025637203715,6.834659576416016,221250
1996-02-05,6.834659942098861,7.027094199265856,6.7243888694660106,6.864930629730225,851250
1996-02-06,6.864929707170827,7.1352030599991325,6.91898422308513,6.936281204223633,211875
1996-02-07,6.936280428397078,7.178445869817691,6.838982310634178,7.1589860916137695,549375
1996-02-08,7.135204798819693,7.24331385699404,7.070339363915085,7.215205192565918,225000
1996-02-09,7.215204384227962,7.697371038969966,7.26493485471952,7.509261608123779,450000
1996-02-12,7.5092615926769435,7.610883786464001,7.394665694783547,7.39574670791626,226875
1996-02-13,7.395745481929829,7.4595298857277665,7.221689251049016,7.442232131958008,159375
1996-02-14,7.442232458754277,7.783858084539196,7.459530213283598,7.508179664611816,185625
1996-02-15,7.508180314106655,7.523314497429599,7.392503407170084,7.416286468505859,133125
1996-02-16,7.416286061261167,7.459530448950679,7.3319616317228755,7.413043022155762,178125
1996-02-19,7.413045772677221,8.097376766267123,7.393585984310826,7.627101898193359,487500
1996-02-20,7.627098463409654,7.78385771318217,7.589260690410046,7.640071392059326,226875
1996-02-21,7.640071392059326,7.640071392059326,7.640071392059326,7.640071392059326,0
1996-02-22,7.640074010984815,8.00115952384991,7.664939637115147,7.902779579162598,414375
