,Open,High,Low,Close,Volume
2002-07-01,5.14777209348807,5.14777209348807,5.000010396794096,5.052161693572998,63252
2002-07-02,5.076066882225047,5.189062046546119,4.971764227491313,5.1260457038879395,394968
2002-07-03,5.015219768859668,5.0521604168325105,4.943511598487053,4.96306848526001,118860
2002-07-04,4.960897077112955,5.019567132374404,4.624085831252513,4.819653511047363,152052
2002-07-05,4.726216049436574,5.052161983880476,4.726216049436574,4.952204704284668,572748
2002-07-08,4.94351553620944,5.365072391940982,4.88919139461137,5.158639907836914,483564
2002-07-09,5.160810965658943,5.460681293876818,5.160810965658943,5.402010917663574,639048
2002-07-10,5.3781073953076,5.591058204502488,5.278150436278796,5.406355857849121,792204
2002-07-11,5.569329263976421,5.569329263976421,5.267286168730106,5.308572769165039,469488
2002-07-12,5.525870938312362,5.754032760860709,5.278151908525546,5.669286727905273,2768196
2002-07-15,5.867028497007226,5.867028497007226,4.971763018240173,5.419395446777344,178728
2002-07-16,5.4715469024822765,5.645384602818884,5.2694601095714795,5.519351959228516,355512
2002-07-17,5.434605199815373,5.704054221080334,5.323783525213264,5.369415760040283,163356
2002-07-18,5.378108235028949,5.460680820356596,5.365070098470992,5.417222023010254,137208
2002-07-19,5.380279428550527,5.423738834487615,5.269457787987858,5.3020524978637695,46284
2002-07-22,5.378107959323928,5.975675095898229,5.162983690686374,5.571502208709717,1759644
2002-07-23,5.671460981759211,6.2755473783791915,5.649730955597247,5.921352863311768,2584236
2002-07-24,5.867025821000745,6.138646972326198,5.758376987455107,5.81052827835083,1406976
2002-07-25,6.084324566463747,6.138648687569439,5.758378596444392,5.793146133422852,435348
2002-07-26,5.812701707976737,5.856161121651606,5.245555893250333,5.391145706176758,865536
2002-07-29,5.4324325768790445,5.4324325768790445,4.843556958407728,5.080410957336426,434436
2002-07-30,5.2477286123913425,5.2477286123913425,4.895707098930027,4.986971855163574,202536
2002-07-31,4.726217399375945,5.24338491404791,4.617568516297318,5.152120113372803,608328
2002-08-01,5.12821600676322,5.325957148538824,4.943513623767818,5.008702754974365,1203144
2002-08-02,4.941340661135911,5.091275813873246,4.867459337120311,4.9500322341918945,242556
2002-08-05,5.156462853687098,5.3520304730884405,4.921782083420881,5.019565582275391,306600
2002-08-06,5.049987530103147,5.080409426360533,4.94351213658711,4.986971855163574,202560
2002-08-07,5.134734583990147,5.162983671079417,5.08041046860584,5.095621109008789,164844
2002-08-08,5.080412920126272,5.195580585234592,5.0043584380268555,5.158639907836914,1045152
2002-08-09,5.060855198845471,5.315093023188388,5.060855198845471,5.260768890380859,136212
2002-08-12,5.4606805445589846,5.595405047621487,5.358551381245115,5.441123962402344,490296
2002-08-13,5.580196192461887,5.580196192461887,5.46720105711816,5.538908958435059,138828
2002-08-14,5.5954048749514245,5.5954048749514245,5.445470046889823,5.515005111694336,331032
2002-08-15,5.515005111694336,5.515005111694336,5.515005111694336,5.515005111694336,0
2002-08-16,5.541081124445748,5.541081124445748,5.443297588573729,5.467199802398682,64308
2002-08-19,5.478066330836219,5.4976235418953445,5.352034286372169,5.375936508178711,101016
2002-08-20,5.321611419672461,5.554120120988492,5.228174122011027,5.519351959228516,271992
2002-08-21,5.5150063180009825,5.6453845930273046,5.495449732170198,5.562811374664307,161916
2002-08-22,5.541081121512028,5.704054095674147,5.4498160321719205,5.510659217834473,181440
2002-08-23,5.619309604171131,5.619309604171131,5.488931313688928,5.547601699829102,106680
2002-08-26,5.704054425345864,5.777935129931266,5.486756699442386,5.725783824920654,460728
2002-08-27,5.975676529020761,5.975676529020761,5.649730513921713,5.736649990081787,206232
2002-08-28,5.727956929180879,5.867027704576445,5.727956929180879,5.843124866485596,283368
2002-08-29,5.808358119064127,5.97567676510091,5.786628093742452,5.9278717041015625,224040
2002-08-30,6.030002301195555,6.757947986143067,5.949601880918798,6.529786109924316,1030920
2002-09-02,6.5189184521321355,6.5189184521321355,6.1929725295255285,6.277718544006348,453576
2002-09-03,6.249470124251071,6.329870516658772,6.195146005256466,6.260335445404053,626484
2002-09-04,5.975678742625592,6.460252312900495,5.975678742625592,6.416792869567871,216216
2002-09-05,6.5102254194909905,6.5189179234588295,6.138647296795424,6.177761077880859,273816
2002-09-06,6.025650937452447,6.2798888805425905,5.551943191162161,6.014786243438721,208800
2002-09-09,5.92135003248429,6.029998867966756,5.92135003248429,5.977847576141357,108672
2002-09-10,5.977847576141357,5.977847576141357,5.977847576141357,5.977847576141357,0
2002-09-11,6.301619893034653,6.301619893034653,5.988711526899605,6.179933547973633,91188
2002-09-12,6.188626480459758,6.247296847926827,6.093015764536308,6.171242713928223,154992
2002-09-13,6.090842142797198,6.297274498453452,5.704053077829931,6.216874122619629,220464
2002-09-16,6.2320856071429045,6.292928159413547,6.036517951415351,6.1082258224487305,124020
2002-09-17,6.123438636238724,6.151686484208837,5.975675975635238,6.040865421295166,233868
2002-09-18,5.982196083433865,6.084325901134657,5.975677013397217,5.975677013397217,147900
2002-09-19,5.951775681333185,5.975677905548199,5.921353764415414,5.953948497772217,85644
2002-09-20,5.921350360501387,5.962636335880897,5.70405329919158,5.917004108428955,89376
2002-09-23,5.864853871164803,6.030000289229108,5.76924376864218,5.964810848236084,112464
2002-09-24,5.867030014862886,6.0799809607288395,5.821397758133449,6.030003070831299,154800
2002-09-25,5.975674407858038,6.301620307257293,5.9300421808837305,6.201663970947266,198624
2002-09-26,6.134302891140328,6.247297383278182,6.0843244026562076,6.238605499267578,139644
2002-09-27,6.297275027440084,6.301620658016444,6.169069600049975,6.199491500854492,219588
2002-09-30,6.112569014101211,6.518915112365784,5.812698894064696,6.0517258644104,622188
2002-10-01,5.975673572581073,6.1386464995004175,5.867025369096428,6.103878974914551,273420
2002-10-02,6.103878974914551,6.103878974914551,6.103878974914551,6.103878974914551,0
2002-10-03,6.084324855402237,6.084324855402237,5.814876431023342,5.853989601135254,89952
2002-10-04,5.867027408927173,5.867027408927173,5.688843472627953,5.725783824920654,198012
2002-10-07,5.7648987008478585,5.7648987008478585,5.6171360204478376,5.630174160003662,104004
2002-10-08,5.649728197075767,5.732301385804437,5.595404090734103,5.704052925109863,93228
