,Open,High,Low,Close,Volume
2021-04-19,215.85279041845783,236.64594912849276,209.21878566124118,230.333740234375,22102730
2021-04-20,231.69521316840456,254.39440091872493,226.42266486479738,249.07235717773438,11705072
2021-04-22,246.54746699731504,268.702083760628,243.37898851543451,259.295654296875,4728296
2021-04-23,258.8253434998837,265.80592289358617,256.30047172541447,262.7364501953125,2300838
2021-04-26,263.3800098859912,290.1140710398325,263.3800098859912,287.193115234375,4139576
2021-04-27,285.1633316468888,303.3573462962346,282.71270322214957,299.2234802246094,4373976
2021-04-28,299.4215062087401,306.94665607858184,295.16387113057726,304.7930908203125,1970340
2021-04-29,306.32780454071514,306.4515733506306,287.71298761623075,297.8620300292969,3749610
2021-04-30,293.08454402154126,307.88730588240014,291.1537384859528,293.9261779785156,689580
2021-05-03,292.09438430721224,299.5205127218024,282.29190084335204,296.6985778808594,848474
2021-05-04,297.66400530108245,301.00576336475365,288.4803651102446,295.906494140625,587900
2021-05-05,292.5894361439318,302.98601509320855,290.856672985719,300.01556396484375,582008
2021-05-06,300.01560784352694,303.1098282214511,294.84206532823856,298.01055908203125,281584
2021-05-07,298.5303802912916,315.85801430488226,298.5303802912916,312.7637939453125,2697842
2021-05-10,311.89742440905087,375.3165552854258,311.82315103072614,342.46832275390625,3202552
2021-05-11,339.02751130820667,347.8893700080208,334.2500534710506,342.44354248046875,938596
2021-05-12,346.5526629600384,351.6271840962389,314.34802510979364,320.1404113769531,1409480
2021-05-14,329.1754942400192,332.41823057608207,304.2236934624087,320.75921630859375,1291314
2021-05-17,320.8087518037613,325.2644289121469,310.7092049379563,320.51171875,2173164
2021-05-18,320.73447811603944,320.73447811603944,304.2237311563532,313.308349609375,1331362
2021-05-19,308.6794381185968,317.8383308294132,308.6794381185968,314.0262451171875,676842
2021-05-20,314.0262175316212,319.3978019960272,304.9910944349097,311.1795349121094,415756
2021-05-21,315.31342273354187,325.2149272286508,311.1547787587986,319.001708984375,1315414
2021-05-24,321.2790669893033,322.7890403524614,315.8579873387583,318.9274597167969,601734
2021-05-25,318.33336703540203,321.7988935816661,310.90723872197896,313.2093505859375,872216
2021-05-26,306.94665540805096,311.748891382834,305.95650490673466,309.4715270996094,481392
2021-05-27,307.02089978925784,309.4220024414062,301.9958743828125,304.4465026855469,207686
2021-05-28,304.96631943463467,318.3333496695943,304.4712442407473,314.447021484375,832566
2021-05-31,314.2984899723353,317.590752257909,307.91203779212276,312.46673583984375,471108
2021-06-01,314.86784860279386,315.2639027463168,305.98124211533815,310.06561279296875,327116
