,Open,High,Low,Close,Volume
2016-07-21,573.5171687630879,610.490539462957,572.6573229328583,599.8284301757812,11824029
2016-07-22,601.89208984375,609.3727591708302,598.6246861379061,601.89208984375,820402
2016-07-25,602.7520459613537,602.7520459613537,595.0134319618498,595.916259765625,260240
2016-07-26,597.5067875480071,603.181748077148,593.2935226988341,595.1422119140625,312995
2016-07-27,595.0993828466441,599.8715700289796,590.7571711359233,593.207763671875,168708
2016-07-28,594.6693459674627,599.3125343709878,582.8464659852517,584.6091918945312,375033
2016-07-29,593.2937184165338,601.8921781037299,588.9944885729357,594.8414306640625,726870
2016-08-01,597.4639067962125,598.7536756552221,586.9307944476342,590.628173828125,347573
2016-08-02,589.0375543087649,593.293802956578,586.8449572722674,587.8338012695312,268056
2016-08-03,588.9944812550265,591.5740191291361,582.7176162575262,584.6952514648438,116318
2016-08-04,586.4579294604022,588.1346395869703,583.9213733695258,585.5980834960938,134769
2016-08-05,586.3719296928482,614.7898265644518,585.9849885366068,599.8715209960938,593783
2016-08-08,601.8920723616206,608.7708389028963,598.7106323401159,602.6659545898438,347844
2016-08-09,604.6435017036656,611.3502876116811,598.7105454307194,600.4302368164062,341932
2016-08-10,601.8062632905427,602.7090911347283,593.2937665177359,593.5087280273438,84904
2016-08-11,594.1534905052208,599.3125656760332,586.8448006799034,588.1775512695312,96842
2016-08-12,590.4132911324882,594.239563940106,587.2748321644578,589.16650390625,74615
2016-08-16,589.1665088682797,591.5740672504573,585.8130883668218,586.3720092773438,64845
2016-08-17,586.5008413747654,594.5834134684752,582.2876281402021,583.7923583984375,90769
2016-08-18,584.5233206315991,586.285994496732,579.5362241543315,580.3530883789062,152898
2016-08-19,580.3959704121829,584.6092362267655,569.7768947606763,571.4535522460938,222490
2016-08-22,572.6144866204476,573.5173144754033,563.1991618911381,564.1019897460938,132422
2016-08-23,563.2850391191934,569.1320333382617,553.7407704347769,555.41748046875,221090
2016-08-24,555.4604364159308,558.426915187073,548.8825944660427,550.17236328125,188676
2016-08-25,550.3443978287336,571.6255854016439,550.3443978287336,562.2532958984375,283053
2016-08-26,563.2420616559074,567.4123458731095,555.9763531066385,557.0081787109375,86564
2016-08-29,554.1706192063506,556.7071748175791,550.129333442118,551.0751953125,66739
2016-08-30,553.7408561984561,567.3693950985829,551.5912410734621,560.4046630859375,141778
2016-08-31,557.652889421516,567.4981326739156,557.652889421516,561.3932495117188,182760
2016-09-01,562.339242978735,563.1990889160114,553.7837654066691,555.1165161132812,75558
2016-09-02,556.3202119676674,560.705404392704,550.3442733831334,553.6976928710938,90488
2016-09-06,555.4173677455115,570.0777271558441,554.6005037941469,560.2324829101562,186480
2016-09-07,562.253182649694,570.9376041298219,560.7054182442025,563.3709716796875,142947
2016-09-08,564.918815544396,564.918815544396,554.6006636623065,559.1578369140625,112310
2016-09-09,559.1577718636914,560.5765385747584,550.989235907335,552.9238891601562,148925
2016-09-12,549.0975819836841,559.7596923541911,549.0975819836841,550.08642578125,122512
2016-09-14,551.1613211037517,557.7821462216025,546.0022447751675,547.678955078125,135473
2016-09-15,547.7218060605944,551.9780535112336,546.002114361817,546.56103515625,69618
2016-09-16,548.5388147213387,550.2585068734671,545.1424122247171,546.0022583007812,76717
2016-09-19,548.4526931943149,557.180150180994,546.0021533409432,550.559326171875,96094
2016-09-20,551.9351024145672,555.7183928738154,548.0657958771002,549.4415283203125,69882
2016-09-21,551.8491257706603,552.0211054585584,548.6247034256921,549.7424926757812,41634
2016-09-22,543.8955636424777,556.1483688459804,543.8955636424777,549.0116577148438,102008
2016-09-23,550.3013524274463,557.6100422643733,547.7218148379426,549.0545654296875,136350
2016-09-26,549.0115443185327,550.3013130209256,546.8619298145447,548.7536010742188,44285
2016-09-27,550.2584318595335,550.3873772648609,546.0021838670802,548.3667602539062,40845
2016-09-28,547.7217974732296,554.1706412425376,546.002105801414,548.882568359375,55249
2016-09-29,548.5816520572218,550.258361960145,527.0855058167351,528.5042724609375,176659
2016-09-30,528.8052409142857,534.8241623555866,527.515472034007,531.341796875,86260
2016-10-03,533.0614666054327,539.9402336816069,533.0614666054327,535.5980224609375,48049
2016-10-04,536.4579434000404,537.7477124072716,530.5249849744426,531.5997924804688,60276
2016-10-05,532.4164729636814,537.7475268501848,528.3751876393568,529.2780151367188,115421
2016-10-06,531.2128518526027,533.0615417572869,527.988429331062,528.59033203125,53393
2016-10-07,529.6220266359196,531.986602566408,525.4517430518376,526.5265502929688,44229
2016-10-10,525.4517386084277,529.278062850662,524.5059292365594,525.6237182617188,54276
2016-10-13,524.9358033817542,527.8592997737502,519.3468062941516,520.2496337890625,88286
2016-10-14,520.249764263509,526.1827221136904,520.249764263509,523.6891479492188,116210
2016-10-17,520.4648316059387,536.2860207705512,520.4648316059387,532.07275390625,71527
2016-10-18,533.0614449189904,535.6839642639247,531.5137328859821,534.523193359375,58766
2016-10-19,534.8670697998368,538.5643962464789,533.5343193049897,535.08203125,56797
2016-10-20,535.082152962471,539.1234396409545,535.082152962471,536.7158813476562,34073
2016-10-21,534.9961982456396,538.2636025894724,534.8672003517263,536.199951171875,43074
2016-10-24,536.5007762099276,540.5850435985651,534.0072024961154,538.650390625,32897
2016-10-25,539.8971370400651,564.0587802632846,535.2539492589857,558.2548217773438,154266
2016-10-26,558.7279879561997,563.1991981937535,557.1802754649653,559.1149291992188,78843
2016-10-27,558.8997145341212,558.8997145341212,553.3107173887801,556.3631591796875,40774
2016-10-28,555.8904285871264,561.9093504743806,555.0305826032329,556.8792724609375,51873
2016-11-01,558.7279322906805,558.7279322906805,553.7838176846103,554.6866455078125,22450
2016-11-02,554.1707116667787,554.6436164404599,547.3779077075453,548.6246948242188,43871
2016-11-03,548.5817224433522,553.3968388266975,541.6599729619811,543.7235717773438,51299
2016-11-04,544.2825462078393,544.2825462078393,537.4037778513422,538.2206420898438,25061
2016-11-07,539.9401026714073,545.0991767267485,537.4035474313682,539.5531616210938,24451
2016-11-08,539.5531536168769,544.7981911696714,539.5531536168769,542.820556640625,23470
2016-11-09,524.5061038073103,546.0022556026919,515.9076430891577,539.7683715820312,60189
2016-11-10,543.422459100982,550.8171108116127,541.702767774713,542.820556640625,35377
2016-11-11,517.7991556989089,536.5437838035741,517.7991556989089,533.2333984375,25009
2016-11-15,532.0727175229367,532.0727175229367,517.4553348850492,519.0460815429688,43648
2016-11-16,521.9264827499353,537.4037095860124,520.1638090786594,525.06494140625,22818
2016-11-17,535.6738855433732,535.6738855433732,526.1082804443845,529.543212890625,16698
2016-11-18,532.1086141836499,532.239022424448,526.8040188193535,528.7606201171875,27527
2016-11-21,528.7606647232614,531.325997256518,520.7168587091488,522.1951904296875,59932
2016-11-22,524.3692381606625,526.1084396139318,520.0212345274895,522.760498046875,35265
2016-11-23,526.1084788944125,528.7172812690956,522.6300757281684,526.2824096679688,39071
2016-11-24,530.4564828522176,530.4564828522176,523.4127376710614,526.2824096679688,33135
