,Open,High,Low,Close,Volume
2007-02-23,18.313012894107793,19.350209077915178,17.10565074542936,18.094228744506836,230284955
2007-02-26,18.150946404978576,19.074700994076093,16.97599765661623,18.68575096130371,50401627
2007-02-27,19.447448563729086,19.447448563729086,18.612828339806413,19.026086807250977,41868387
2007-02-28,18.15094958661819,18.766785572117087,16.69239173107208,17.996990203857422,25946085
2007-03-01,18.159045038333634,18.458860386375076,17.58372574159551,17.915952682495117,10986965
2007-03-02,18.053716482880134,18.377840337621947,17.50270515704683,17.664766311645508,10019855
2007-03-05,17.12995527101103,17.583730046467135,16.400676479408997,16.538429260253906,9611967
2007-03-06,16.77342718720259,17.454088099152784,16.53033312119492,17.032726287841797,5493452
2007-03-07,17.381148576782667,17.421663454972165,16.44929092298886,16.894962310791016,4594292
2007-03-08,16.976000922873276,17.98888876921311,16.732906912425197,17.826826095581055,5568585
2007-03-09,17.826824559929616,18.21577308848841,16.530327919189556,16.741008758544922,3550725
2007-03-12,16.765316398771077,17.081336843140846,16.481707554712735,16.67618179321289,4866525
2007-03-13,16.911175537966976,17.42167031362925,16.692391400307084,17.292020797729492,3616967
2007-03-14,16.886861895750794,16.984098238147077,16.530325034028895,16.700490951538086,1412267
2007-03-15,16.984101341061194,17.308226663048412,16.708597290242587,16.789627075195312,2749737
2007-03-16,16.8544494587854,16.967893923735055,16.595150474118526,16.67618179321289,1023200
2007-03-19,16.919281271963214,17.251509973573025,16.700498628232175,17.186683654785156,1336085
2007-03-20,17.48648966733474,17.518902809064386,17.09754123984098,17.202880859375,2218610
2007-03-21,17.34063419797317,17.34063419797317,17.008407211901545,17.09754180908203,986445
2007-03-22,17.340638782142285,17.340638782142285,17.016514996087537,17.0732364654541,2013587
2007-03-23,17.178572070679742,18.345417320697095,16.975994577136557,18.02129364013672,5566742
2007-03-26,17.826822574323835,18.296802380370618,17.178575098929617,17.300121307373047,2431502
2007-03-28,16.88686460776767,17.178576772892853,16.732905237780038,16.846349716186523,2353230
2007-03-29,16.951696276690665,17.292026759652266,16.635675665920846,16.732912063598633,3328130
2007-03-30,16.935478230568147,17.097540844380593,16.822035328225613,16.903066635131836,2019385
2007-04-02,16.40878396090743,16.741011068077324,16.368269063172285,16.449298858642578,3120157
2007-04-03,16.489808201058974,16.6761791232562,16.368262014649638,16.37636375427246,2577327
2007-04-04,16.643770609375498,17.032719096108398,16.45739810713174,16.554636001586914,3067530
2007-04-05,16.69238870262457,16.97599755239988,16.48170788694988,16.708595275878906,2908327
2007-04-09,16.773417550262845,17.340633620638663,16.773417550262845,17.202880859375,4110855
2007-04-10,17.275806235706348,17.527001863447992,17.024610607964703,17.381147384643555,2731302
2007-04-11,17.421671566822173,18.223878583736116,17.356846804209255,17.92406463623047,5791822
2007-04-12,17.81872337028034,18.069919131356105,17.000309779116844,17.113754272460938,3925062
2007-04-13,17.32443054400847,17.64855584450442,17.129956291037292,17.494596481323242,2246627
2007-04-16,17.016512792276817,17.8025130648576,17.016512792276817,17.59993553161621,924200
2007-04-17,17.664766300311182,18.24819078401655,17.364952314446548,17.86734390258789,8213507
2007-04-18,18.248182703562374,18.85591524128324,17.51890396740609,18.126636505126953,9195652
2007-04-19,18.150948841878165,18.150948841878165,17.632350789281222,17.818721771240234,3970850
2007-04-20,18.13473761106695,18.864017867251498,17.988883105373752,18.774883270263672,6000707
2007-04-23,18.65334206119552,19.739157904428755,18.256290229795923,19.03418731689453,17144772
2007-04-24,19.196240017365753,20.25774544598314,19.12331201011675,20.006549835205078,14172192
2007-04-25,20.038970676724823,20.906002334855945,19.528475935817053,20.735837936401367,13672192
2007-04-26,20.946519446764153,21.205818469266255,20.29827034496481,20.50895118713379,9745517
2007-04-27,20.436020644738324,20.711526208841217,19.803979741067838,20.022762298583984,4723545
2007-04-30,20.01466220373188,20.322579394238883,19.666228576616046,20.1605167388916,2808760
2007-05-03,20.48464295885295,20.50084798867176,19.80398224905183,19.885013580322266,1898765
2007-05-04,19.933631526734004,20.322580057610747,19.609507751003385,19.698640823364258,3686820
2007-05-07,19.933625756769807,20.23343958295784,19.577088933896825,19.666223526000977,2467122
2007-05-08,19.836397795133877,19.87691424159055,19.447449182416207,19.528480529785156,3048465
2007-05-09,19.463653874855332,19.901220635373793,19.447447297843176,19.731056213378906,1561062
2007-05-10,19.90121518696557,21.983711851025255,19.812082128889404,21.489423751831055,26072205
2007-05-11,21.23012637820504,22.761612054866713,20.79255815884802,22.251115798950195,29477785
2007-05-14,22.65626791034758,22.802123964408455,21.975608900636406,22.567134857177734,8206460
2007-05-15,22.6724813105308,22.988503371356828,21.878377605413085,22.048542022705078,7791125
2007-05-16,22.267325534157955,24.131040056160717,22.137676016432707,23.644853591918945,21774250
2007-05-17,23.83932070378506,25.05478572631888,23.661053056875833,24.86031150817871,16720412
2007-05-18,24.795490256641052,24.860315005139643,23.879838945361573,24.203964233398438,7459292
2007-05-21,24.43894955360577,24.706351792629256,24.017587981343404,24.082412719726562,1980580
2007-05-22,24.147247298964025,24.147247298964025,23.580030993336674,23.74209213256836,4873990
2007-05-23,23.904147545373174,24.698251059000814,23.353136439413152,23.977075576782227,5966007
2007-05-24,23.83122506911784,24.18776202294519,23.717782125168128,23.928462982177734,4488550
2007-05-25,23.215389649243626,24.455164957342145,23.215389649243626,24.05811309814453,4304247
2007-05-28,24.293104786901175,24.68205339781706,24.24448659692279,24.390342712402344,3965715
2007-05-29,24.325517491291976,26.813170060777338,24.17966137852636,26.53766441345215,12475502
2007-05-30,26.051478974238645,27.031953755324235,25.11962083582888,25.848899841308594,19519230
2007-05-31,26.035266013106902,26.642998626262884,25.613904363721538,25.7192440032959,14042637
2007-06-01,26.09198375581567,26.367489291471074,25.61390071132798,25.767858505249023,5632057
2007-06-04,25.970439262848377,26.318872868914138,25.11961423753649,25.60580062866211,9571560
2007-06-05,25.605803240662006,25.775967644864963,25.314091067120835,25.581493377685547,4316752
