,Open,High,Low,Close,Volume
2002-07-01,6.3549216107614335,6.447597143200742,6.321822935759659,6.335062026977539,825970
2002-07-02,6.354921292303946,6.401259056201525,6.25562527227454,6.288723945617676,653405
2002-07-03,6.262244727847203,6.335061299444915,6.262244727847203,6.295343399047852,305880
2002-07-04,6.328442394895661,6.5535119817358565,6.301963582837716,6.434357643127441,2413155
2002-07-05,6.553512396103651,6.586611071095026,6.354921608764832,6.520414352416992,3460955
2002-07-08,6.5535116629427455,6.646187816289695,6.487314951670335,6.527032852172852,2791970
2002-07-09,6.553511040465253,6.566750760244964,6.421116999191078,6.4674553871154785,716330
2002-07-10,6.460835779776871,6.540272207646511,6.388018580751242,6.507173538208008,1163015
2002-07-11,6.421118003934155,6.5535120659246635,6.156329879953139,6.196047782897949,1434245
2002-07-12,6.255624867346144,6.354920880948091,6.235765917147613,6.295343399047852,673410
2002-07-15,7.427312975483983,7.427312975483983,6.1960468133726865,6.4674553871154785,1958485
2002-07-16,6.354921292303946,6.474075632512674,6.235766320790534,6.288723945617676,1115835
2002-07-17,6.341682173762615,6.341682173762615,6.12323179274214,6.176189422607422,468885
2002-07-18,6.229147073710778,6.288724565338534,6.1430907670601025,6.209288120269775,271340
2002-07-19,5.692949676917879,6.222525862515682,5.692949676917879,6.156329154968262,317560
2002-07-22,6.090132995390749,6.090132995390749,5.904781294540587,5.931260108947754,508510
2002-07-23,6.116611619275009,6.116611619275009,5.838583761007534,6.037175178527832,321750
2002-07-24,5.970978125925593,6.090132464722878,5.957738404223296,6.050414562225342,614330
2002-07-25,6.421118291124875,6.421118291124875,5.990837412584824,6.037175178527832,417915
2002-07-26,6.017315418388562,6.090131988138894,5.838582977222345,5.898160457611084,842775
2002-07-29,5.957738086168533,6.076893049909389,5.70618906899597,5.759146690368652,972715
2002-07-30,5.92463839406425,5.944497340830797,5.759145697965782,5.7856245040893555,604080
2002-07-31,5.785626604809283,5.785626604809283,5.646612664359415,5.67971134185791,752895
2002-08-01,5.759146742723403,5.865061986431613,5.71942884198515,5.825344085693359,776880
2002-08-02,6.6991454945563405,6.6991454945563405,5.428161304229758,6.057033538818359,978845
2002-08-05,6.2225251978948934,6.2423847762120905,5.984215939829421,6.169567584991455,1663065
2002-08-06,6.090131772869015,6.103371493067248,5.997456256699812,6.030554294586182,1362320
2002-08-07,6.196047183664345,6.196047183664345,5.898160415168827,5.9246392250061035,676635
2002-08-08,5.8849223415613965,5.984217737762085,5.865062757277473,5.931260108947754,920445
2002-08-09,5.970977702019802,5.970977702019802,5.838583019614819,5.8716816902160645,344730
2002-08-12,4.931682944638927,6.004075697722341,4.931682944638927,5.898160457611084,656355
2002-08-13,5.984216448725435,5.984216448725435,5.8650614939075245,5.884921073913574,629060
2002-08-14,5.8915396390390615,5.964356828250553,5.805483993923795,5.957736968994141,863860
2002-08-15,5.957736968994141,5.957736968994141,5.957736968994141,5.957736968994141,0
2002-08-16,5.904780109226003,6.063652963777156,5.898160249126886,6.030554294586182,772460
2002-08-19,6.116611957550049,6.129851680725815,6.070274189044362,6.116611957550049,1502830
2002-08-20,6.0901335377609,6.222527621587374,6.0901335377609,6.2026686668396,1094565
2002-08-21,6.25562561831484,6.25562561831484,6.096752735045096,6.136471271514893,755185
2002-08-22,6.12323088195596,6.12323088195596,6.0106957774048295,6.057033538818359,377410
2002-08-23,6.023936064225171,6.215907619785504,6.023936064225171,6.189428806304932,1216535
2002-08-26,6.1563290847715715,6.20928670272751,6.123230415722959,6.149709224700928,397415
2002-08-27,6.103371662610607,6.123230612155004,6.057033271934182,6.076892852783203,341990
2002-08-28,6.004075779717023,6.090132071308804,5.984216829751115,5.9974565505981445,306935
2002-08-29,6.090132829461003,6.090132829461003,5.96435862227995,5.977597713470459,181690
2002-08-30,6.222525471876325,6.222525471876325,5.9312585880827635,6.043793678283691,642855
2002-09-02,6.169568458443245,6.169568458443245,5.984216787040194,6.023935317993164,725025
2002-09-03,6.023934678768822,6.023934678768822,5.904779729858563,5.918018817901611,340035
2002-09-04,5.865061787250159,5.931259127972009,5.851822697888567,5.898160457611084,196310
2002-09-05,5.8915400908633675,5.93787847790744,5.858442054652054,5.865061283111572,118600
2002-09-06,5.878302003433013,5.918019906170476,5.825344378913275,5.838583469390869,301385
2002-09-09,5.825344032736827,5.838583122427676,5.759146690368652,5.759146690368652,404010
2002-09-10,5.759146690368652,5.759146690368652,5.759146690368652,5.759146690368652,0
2002-09-11,6.023935510215426,6.037174600085784,5.7988653006774715,5.858442783355713,663800
