,Open,High,Low,Close,Volume
2002-08-12,232.19712962510874,237.61750724037165,228.82771053532022,235.3223876953125,4440241
2002-08-13,236.83617458419877,238.30114061255466,235.6642047419951,236.885009765625,1554070
2002-08-14,236.4455131767282,237.81280878578738,232.58775753938838,232.97842407226562,2417646
2002-08-15,232.97842407226562,232.97842407226562,232.97842407226562,232.97842407226562,0
2002-08-16,235.37121861853788,238.2034804334833,234.68757075655853,237.12918090820312,1975544
2002-08-19,238.3988074942945,240.93807296492312,238.3988074942945,239.52194213867188,2054911
2002-08-20,240.74276065770349,244.64933689555667,239.6684462313316,243.08670043945312,3269448
2002-08-21,243.23319950329423,245.1864875701307,239.0824623612667,239.47311401367188,1991301
2002-08-22,241.23106261926225,243.57500220601798,240.2544186410466,241.86587524414062,1792486
2002-08-23,244.0633455069607,244.60050272236526,240.84043201934492,243.91685485839844,1411719
2002-08-26,244.20983252287107,246.89560349364322,243.3796791709433,245.08880615234375,1648160
2002-08-27,253.92744761551418,253.92744761551418,240.25443120544804,240.84042358398438,1337440
2002-08-28,239.76609996339008,241.23106595094643,238.49645979369365,239.96142578125,956877
2002-08-29,239.27780171473083,244.1610221578886,238.88715004024067,243.77037048339844,2058052
2002-08-30,244.84463775058418,250.41150534117264,243.1843459993426,249.53253173828125,3381295
2002-09-02,253.92745871009072,261.7406112857858,253.92745871009072,259.0548400878906,4126554
2002-09-03,260.17794189519867,260.66626386940317,255.0017408905541,258.1269836425781,2146322
2002-09-04,255.88070425462428,264.6216791653977,254.9040603452555,263.01019287109375,4934888
2002-09-05,263.6938603386252,264.52401363768973,258.8106407027247,259.73846435546875,2123615
2002-09-06,259.7872964389036,262.1312360097214,257.1015255170728,259.4454650878906,2514536
2002-09-09,258.71296542420566,259.78727968461465,251.72996743875726,254.85523986816406,2470540
2002-09-10,254.85523986816406,254.85523986816406,254.85523986816406,254.85523986816406,0
2002-09-11,254.90409281754438,255.97840721566857,250.50919466551775,251.38816833496094,2066219
2002-09-12,251.77882066414818,257.49219423809916,251.48583937514994,254.415771484375,2786878
2002-09-13,255.05056899786896,258.7618339986695,251.68116515527865,252.95079040527344,3702270
2002-09-16,253.9274475146119,255.09943227121892,250.99751542790483,252.02297973632812,2115338
2002-09-17,252.21831835666111,256.8085571760733,252.21831835666111,255.49008178710938,1336037
2002-09-18,253.92743836516865,255.68538563192683,251.97415037774428,252.6089630126953,1227802
2002-09-19,253.39032916225187,253.39032916225187,249.53257296166288,252.0718536376953,1510321
2002-09-20,249.0442097583629,251.38814930100935,247.13975701716214,249.53253173828125,1757760
2002-09-23,250.99752748929538,255.8319275865976,249.04423933762772,253.92745971679688,1821705
2002-09-24,252.95078559770977,255.1970547834109,248.36056196695804,249.53253173828125,2417212
2002-09-25,248.16524238285086,249.9720248124451,246.11428405476602,249.38604736328125,1211786
2002-09-26,250.99751497160534,251.09518533528012,248.80006591056988,249.72787475585938,584209
2002-09-27,249.77672509194315,253.43914041587195,247.8722721039814,251.92535400390625,1865491
2002-09-30,251.24167643513042,253.9274475146119,251.09518579175716,252.02297973632812,2254774
2002-10-01,250.1185141030513,251.48580963134768,243.2331714802366,244.16098022460938,2075680
2002-10-02,244.16098022460938,244.16098022460938,244.16098022460938,244.16098022460938,0
2002-10-03,243.18434828963538,243.67267027415272,234.88287455284058,236.4455108642578,4891437
2002-10-04,235.46887545233866,236.20135845573364,229.56017624447142,230.6344757080078,3961069
2002-10-07,229.51135053153197,236.00602746858974,229.12069887456815,234.5410614013672,2026576
2002-10-08,235.0293752663521,238.10581284218543,234.19923679851513,236.68968200683594,1331793
2002-10-09,237.0803628884479,237.71517561287132,232.1483070445817,232.8319549560547,1444782
2002-10-10,231.46462897953933,233.80856862849677,229.75550197230643,231.36695861816406,1495105
2002-10-11,245.1376577733912,245.1376577733912,232.53895542647794,234.00392150878906,1287555
2002-10-14,235.37121251114877,237.71515223494498,234.39456847583278,236.54318237304688,1047072
2002-10-15,236.54318237304688,236.54318237304688,236.54318237304688,236.54318237304688,0
2002-10-16,237.81281214674604,241.47522711820517,237.1291643325546,238.4964599609375,1966995
2002-10-17,237.8128294198228,239.08246968262745,236.00603194170785,237.95932006835938,1207311
2002-10-18,238.9847994536884,241.57291516444346,235.9083766133935,237.22683715820312,1421229
2002-10-21,238.30115172826032,238.4964775606712,235.56654536729096,236.49435424804688,792887
2002-10-22,237.42215584074512,237.61748165490002,233.4667447688898,234.34571838378906,1114776
2002-10-23,232.2459606817851,232.2459606817851,229.90200599398707,230.4391632080078,1364316
2002-10-24,229.51133145980089,231.46461938711835,223.7491380351761,224.5304412841797,2871456
2002-10-25,224.1398208212519,225.50711659950397,216.37550321119306,217.84046936035156,4726002
2002-10-28,217.5962987463477,219.35426102834842,212.95723947844886,214.66636657714844,2880309
2002-10-29,220.23322789072313,227.0697360735837,218.86593221511308,225.165283203125,5708486
2002-10-30,227.1673763937237,230.39028933176726,227.1673763937237,228.92532348632812,3855740
2002-10-31,231.5134892787209,263.1079172988803,231.5134892787209,259.29901123046875,36393864
2002-11-01,259.59196815326465,261.4476156319617,245.87013161748965,251.72999572753906,22687604
2002-11-04,256.90622175566267,258.1270268957386,254.2204504474955,257.1015625,5166758
2002-11-05,258.810692531676,258.810692531676,253.63449060296782,255.09945678710938,5126794
2002-11-06,255.09945678710938,255.09945678710938,255.09945678710938,255.09945678710938,0
2002-11-07,257.34571803637687,265.01238011341354,251.58352385914344,253.58563232421875,8984720
2002-11-08,248.06762068401014,256.0272647568057,248.06762068401014,251.9741973876953,6836817
2002-11-11,251.97414672374725,252.36479835460523,248.6047279747827,250.02085876464844,2908551
2002-11-12,248.06761761847267,255.58778960206087,247.72578620016148,254.7087860107422,5578331
2002-11-13,263.44974529404095,263.44974529404095,254.31811702168164,256.7109069824219,8159262
2002-11-14,257.3456865781292,259.4943152380864,256.1248816133373,258.7129821777344,5058403
2002-11-15,260.8615988055114,263.2055382688364,259.88495487872535,261.9359130859375,4908203
2002-11-18,261.7405861103655,270.33504119505096,260.8616124911059,265.50067138671875,6630375
2002-11-19,265.50067138671875,265.50067138671875,265.50067138671875,265.50067138671875,0
2002-11-20,266.13550021706595,271.40937205857045,264.67053416082524,267.0633239746094,7450726
2002-11-21,268.82126093028063,270.53038792983733,266.9167932088507,268.28411865234375,4353172
2002-11-22,270.0420586440143,281.6641159664658,270.0420586440143,278.68536376953125,13556557
2002-11-25,277.8551917160028,284.88703977274173,275.169420970066,279.8572998046875,9464779
2002-11-26,282.93381845863644,288.89132385149213,282.78729799421063,285.57073974609375,13852575
2002-11-27,284.6917300121539,286.1078757540355,279.4666785775555,280.5898132324219,7021521
2002-11-28,283.2267533808084,286.1078650353988,282.3966000392477,284.008056640625,7071612
2002-11-29,284.008056640625,284.008056640625,284.008056640625,284.008056640625,0
2002-12-02,283.1290826642438,290.2097514898138,281.2734650709183,287.67047119140625,5907463
2002-12-03,290.9911144323896,294.70235000010996,282.7384600663855,284.5452575683594,7823413
2002-12-04,286.15671804053153,287.47519352147594,280.1015127675783,285.66839599609375,9168904
2002-12-05,287.81702844713175,290.9422716870153,285.6683995033015,287.5240173339844,6537126
2002-12-06,288.2076594688143,292.01656522822026,286.20552132265755,289.2331237792969,3669736
2002-12-09,292.01659522806983,297.143976916857,284.4476032112887,286.10791015625,8159296
2002-12-10,284.1057150731136,287.37747822027023,281.37112397373926,286.4985046386719,4599603
2002-12-11,288.012329522801,289.9656176576519,283.81277195479623,285.81488037109375,4144766
2002-12-12,286.1566935583454,287.6704798446653,283.3732521822255,286.9868469238281,4006333
2002-12-13,281.2734890793424,291.72359243581195,281.2734890793424,290.01446533203125,3790765
2002-12-16,294.94648535971623,294.94648535971623,288.1099774209149,288.79364013671875,6677302
2002-12-17,289.3796170710818,290.8445831307831,285.22887990192794,287.23101806640625,4945501
2002-12-18,287.6704779899584,288.9889533495998,281.90828435669147,283.12908935546875,3553239
2002-12-19,282.7384605080274,283.6174342170382,279.17371558520983,282.3478088378906,3871518
2002-12-20,282.2501094036332,286.0101946767195,282.2501094036332,284.008056640625,3651142
2002-12-23,285.13124797289413,285.1800682544377,281.81063429320545,282.88494873046875,2523244
2002-12-24,282.49430060260573,285.4242328474037,275.60897174925526,284.7405700683594,3709924
2002-12-25,284.7405700683594,284.7405700683594,284.7405700683594,284.7405700683594,0
2002-12-26,285.91251575133566,295.6301349549866,285.6683547643576,293.48150634765625,10948599
2002-12-27,295.4348086219052,299.2437142431761,290.25860736797404,291.91888427734375,10349750
2002-12-30,290.0632527327337,292.1630312612515,287.2309912427696,290.55157470703125,4170639
2002-12-31,292.8955267656185,292.8955267656185,290.11208543196324,290.9910888671875,3793216
2003-01-01,293.77450600177394,294.4581687300363,290.1609410511569,290.8445739746094,3385535
2003-01-02,291.8700709930372,291.8700709930372,285.76604587525077,286.64501953125,2866903
2003-01-03,288.20770078858607,288.45186183130687,280.3945474215207,281.2247009277344,5194550
2003-01-06,280.9316654840771,281.71299863606237,277.51341118177345,278.1482238769531,3468858
2003-01-07,279.36900851677115,280.8828246226251,277.6598814908396,278.3923645019531,2710431
2003-01-08,278.6853997438472,284.10576257396355,278.4900590020288,282.2013244628906,2567185
2003-01-09,283.71509321016595,290.942253134764,283.47093220051863,289.428466796875,5705715
2003-01-10,291.8212180808684,292.01655880466836,285.18005073900724,290.1120910644531,4377033
2003-01-13,290.0632528875159,290.35623415032757,287.62164301472535,288.3541259765625,2639730
2003-01-14,286.05903713835534,288.10999561044275,284.6917414252341,287.6216735839844,2871917
2003-01-15,285.1800413351588,286.6450073009216,280.6874730791911,284.008056640625,3966366
2003-01-16,284.00807135645414,286.10787986002913,281.61531137127974,284.6429138183594,2460285
2003-01-17,285.6683717434478,286.8891767508984,283.8127540930848,285.5218811035156,1888939
2003-01-20,285.71718207184665,287.0845074764227,282.00594690036274,283.08026123046875,1480731
2003-01-21,283.22675166036623,286.15668357409413,281.27346371788093,285.2777099609375,1862633
2003-01-22,285.6683326691383,290.55155203100395,284.4963481003683,289.1354064941406,3875298
2003-01-23,290.06329670737557,292.99322899734904,284.78942454638576,285.8637390136719,3283681
2003-01-24,286.5473864838715,286.5473864838715,274.68116607058505,276.0484619140625,4079518
2003-01-27,275.6577941569027,278.24589503213434,264.0845557397514,266.9656677246094,4880373
2003-01-28,264.03574200192196,273.167370422596,263.01024780002916,272.1418762207031,5259578
2003-01-29,302.7596650451328,302.7596650451328,265.0123772835327,266.77032470703125,3102893
2003-01-30,266.7703153241053,269.4560864518151,260.42212902224577,262.1312561035156,5186530
2003-01-31,260.763943388309,272.97199317240586,257.1503487302927,268.62591552734375,12299612
2003-02-03,275.4136212633594,275.90194328687596,270.0908992851041,274.77880859375,4080381
2003-02-04,277.5622580113855,279.66203681147994,273.7045019935657,274.82763671875,4478622
2003-02-05,273.16736333949376,277.3669209960299,271.1652250761773,275.9507751464844,3363936
2003-02-06,276.3902561935002,279.17369759669356,275.511282541126,278.3923645019531,2965780
2003-02-07,278.8318381441139,280.10146331356526,270.92101645997445,274.1927795410156,3944593
2003-02-10,274.1439530096139,276.2925516938584,272.48364646763764,275.0717468261719,2918920
2003-02-11,275.6089578883638,277.22041458099716,273.75331038279944,275.8531188964844,2462346
2003-02-12,274.97412579916767,276.29260125373145,272.04419359116457,274.63232421875,2632766
2003-02-13,274.63232421875,274.63232421875,274.63232421875,274.63232421875,0
2003-02-14,275.12059916991495,278.24584177405114,273.65563331662423,277.46453857421875,3708450
2003-02-17,280.68748300282294,285.6683734234763,280.44332199989685,284.9847106933594,3163812
2003-02-18,286.1567123238022,286.93801565736914,282.0547953105466,282.88494873046875,2327667
2003-02-19,284.25220587089143,286.0101828399367,282.54307898156856,283.5685729980469,1859557
2003-02-20,283.2267189905643,284.10569250233254,280.3456076858071,282.15240478515625,1547297
2003-02-21,282.39662572207953,288.98897316755955,282.2501350731423,288.0123291015625,4517701
2003-02-24,290.2097652640782,296.655621772189,290.2097652640782,295.6301574707031,9498820
2003-02-25,292.9932030107237,294.5069893043551,287.865821958036,288.6471252441406,4962908
2003-02-26,289.72144868867656,290.94225373945034,284.6917378404506,285.76605224609375,3927725
2003-02-27,284.49642447407865,290.0633079629702,283.5197803395232,288.50067138671875,4252731
2003-02-28,290.0632939229485,295.727817707263,285.7172158126158,287.8658447265625,7407437
2003-03-03,288.1099930731904,294.1651980698733,286.40086599563756,288.89129638671875,6568547
2003-03-04,287.2309837036007,289.8190841384842,284.20338158146217,285.3753662109375,2678815
2003-03-05,283.7639311781876,284.10576257396355,276.53677080309495,282.2013244628906,5714701
2003-03-06,281.3222846148154,281.85945668306846,277.6110494378338,278.68536376953125,2460354
2003-03-07,271.5070490175295,276.29259895651643,271.5070490175295,274.4369812011719,3363294
2003-03-10,274.3392623422571,275.0229249861883,268.13756768878807,270.4815368652344,3990040
2003-03-11,268.5770904648486,280.68746967393827,267.69811685701626,278.4900207519531,4118775
2003-03-12,278.34354515362634,279.1736985299588,270.0908912789018,271.8000183105469,2537990
2003-03-13,271.50707223843654,274.3393342972272,268.96779150114304,271.458251953125,3577231
2003-03-14,271.458251953125,271.458251953125,271.458251953125,271.458251953125,0
2003-03-17,271.5070570879057,274.3393189886516,268.821285839734,273.0208435058594,4017792
2003-03-18,273.0208435058594,273.0208435058594,273.0208435058594,273.0208435058594,0
2003-03-19,275.4136121786822,279.02720695543286,274.97411045009005,278.3923645019531,3524481
2003-03-20,273.46030212973886,288.9889347540018,273.46030212973886,286.4985046386719,5099545
2003-03-21,286.4985046386719,286.4985046386719,286.4985046386719,286.4985046386719,0
2003-03-24,286.05906675783336,286.05906675783336,274.9741496484979,276.2438049316406,3978037
2003-03-25,272.48372431508494,280.003896370438,270.67692663375317,279.0272521972656,3507508
2003-03-26,279.80851265583806,281.4199693332081,275.9996069261971,277.855224609375,2791345
2003-03-27,276.29260930735717,277.02509238070905,272.6790440283756,273.94866943359375,2501955
2003-03-28,274.3393023137113,279.7108444835607,273.60681929055,278.7830505371094,3051450
2003-03-31,274.5346378477592,276.19491478596024,269.1630957795366,271.6047058105469,3356489
2003-04-01,269.5537086595654,276.1460547952613,269.5537086595654,274.4857482910156,2662922
2003-04-02,275.9507650169472,279.32019891883664,274.43697865801784,275.70660400390625,2499790
2003-04-03,276.3902382658576,280.29681407173547,275.46241459003835,278.83184814453125,2228894
2003-04-04,279.4667021393768,287.2310346253336,279.4667021393768,286.5962219238281,4914794
2003-04-07,288.35415952615654,294.94650694970113,288.10999851046967,293.13970947265625,4929495
2003-04-08,291.03992119735665,291.8212245001233,287.62166708933404,289.2331237792969,3025909
2003-04-09,286.3032366070517,288.0123639292213,280.7852029278671,281.6153564453125,3180773
2003-04-10,281.1758082191363,281.76180059381164,275.5112848084985,278.58770751953125,2911610
2003-04-11,279.71085718158844,287.13335811421064,275.901951249199,286.0102233886719,3456980
2003-04-15,286.156707283983,286.35204801634023,267.7469609397338,275.70660400390625,5846070
2003-04-16,278.2458842415614,278.6853859865505,273.85098601091426,277.17156982421875,3023338
2003-04-17,277.1715979415226,277.1715979415226,269.7002761524665,271.653564453125,3105149
2003-04-18,271.653564453125,271.653564453125,271.653564453125,271.653564453125,0
2003-04-21,273.46030452894865,275.4135924184411,270.5303726947099,272.7766418457031,2161877
2003-04-22,272.1418254216047,272.2883160502983,267.35627612050064,270.9210205078125,3876796
2003-04-23,274.92529692184326,277.8064087582238,263.44972946595817,264.8658752441406,15811793
2003-04-24,266.62381755525433,270.53039363665,265.3541922507248,267.4051208496094,6500987
2003-04-25,265.6471480858015,268.18642825640666,260.7639284518713,261.9359130859375,5532466
2003-04-28,261.740642304178,267.30752609600637,258.5665486941459,265.8425598144531,4880945
