,Open,High,Low,Close,Volume
2002-07-01,8.50546770676772,8.589680258319875,8.29493632788733,8.30841064453125,32160
2002-07-02,8.220831118347734,8.50546936685261,8.220831118347734,8.419572830200195,44720
2002-07-03,8.30167498342206,8.51557498004044,8.29493782388505,8.379150390625,46768
2002-07-04,8.421255687520619,8.631787079708634,8.421255687520619,8.63010311126709,440240
2002-07-05,8.631787129624302,9.179168752478526,8.631787129624302,9.066324234008789,147904
2002-07-08,9.305490569178351,10.25372444870433,9.305490569178351,10.120668411254883,136208
2002-07-09,10.10550816014744,10.145930475484029,9.56486362777737,9.935399055480957,81856
2002-07-10,10.105506560315822,10.206561368922658,9.894975173642575,10.004451751708984,63840
2002-07-11,9.942136353764134,9.942136353764134,9.684446081031192,9.773711204528809,33888
2002-07-12,10.043190786676206,10.043190786676206,9.580021674339436,9.5884428024292,29792
2002-07-15,9.521071377121158,9.521071377121158,8.928214905697688,9.084850311279297,20480
2002-07-16,9.137063268109394,9.263382115133947,9.041060995770003,9.079798698425293,28480
2002-07-17,9.094957064318537,9.094957064318537,8.968638216203,9.004007339477539,17520
2002-07-18,9.010745663361742,9.600233697413445,8.928217055898479,9.526126861572266,40784
2002-07-19,9.473912626744507,10.105506801860807,9.473912626744507,10.011188507080078,108048
2002-07-22,9.768657941470549,10.085297378781187,8.884425972630542,9.041061401367188,75776
2002-07-23,8.889479818504169,9.32233243216628,8.717686076672711,9.268436431884766,80880
2002-07-24,9.179169528920026,9.179169528920026,9.052850682191767,9.138747215270996,43248
2002-07-25,9.179166793823242,9.381277016864276,9.179166793823242,9.179166793823242,17120
2002-07-26,8.968638086923049,9.172432338080672,8.631787830137206,8.665472984313965,68768
2002-07-29,8.673894045389009,8.882741485682708,8.060826685561995,8.512206077575684,20704
2002-07-30,8.594733698077192,8.673893710351257,8.097880106331303,8.182092666625977,30784
2002-07-31,8.084407154068247,8.461679770620785,8.084407154068247,8.355571746826172,37504
2002-08-01,8.417888052672893,8.625050888731636,8.168618933452027,8.198935508728027,21760
2002-08-02,8.25283045451409,8.337043010172398,8.210724176684936,8.333674430847168,6016
2002-08-05,8.252833276217528,8.421258445119927,8.175357852720273,8.185462951660156,42032
2002-08-06,8.050721371215774,8.42125679886397,8.050721371215774,8.419572830200195,36672
2002-08-07,8.421258817227578,8.421258817227578,8.148410211446901,8.200621604919434,30064
2002-08-08,8.294934706230075,8.325251270261235,8.126509636052814,8.148405075073242,21552
2002-08-09,8.294936667042016,8.294936667042016,8.131564104753979,8.153459548950195,7136
2002-08-12,8.25283343769568,8.25283343769568,7.836823056769804,8.023775100708008,39424
2002-08-13,8.050722175420804,8.050722175420804,7.789663317076436,7.964825630187988,44096
2002-08-14,8.124829658943092,8.124829658943092,7.803137642589831,7.84524393081665,22912
2002-08-15,7.84524393081665,7.84524393081665,7.84524393081665,7.84524393081665,0
2002-08-16,8.072615243872015,8.084404949691052,7.836819842509713,7.942927837371826,35232
2002-08-19,7.895770240168685,7.985035353085761,7.821662772094842,7.863769054412842,4208
2002-08-20,7.882297104479478,7.958088552525536,7.855349105450988,7.921034812927246,9392
2002-08-21,8.00019440983289,8.00019440983289,7.915981837097807,7.954719543457031,7680
2002-08-22,7.937874954918441,7.996823481526158,7.853662406912702,7.905873775482178,16448
2002-08-23,7.813241958618164,7.915981394407961,7.81155798995365,7.813241958618164,3696
2002-08-26,8.1585143107122,8.1585143107122,7.794716000104255,8.010300636291504,12192
2002-08-27,7.8957697978644195,8.084405752184624,7.841873810915789,8.006930351257324,12976
2002-08-28,7.9985098698436,8.232620702529056,7.9985098698436,8.177040100097656,12032
2002-08-29,8.177037854262752,8.42125435917703,8.151774476679654,8.417885780334473,26080
2002-08-30,8.421254535321342,8.421254535321342,8.353884242042477,8.377464294433594,23744
2002-09-02,8.379152261932807,8.505471140253402,8.379152261932807,8.438100814819336,10240
2002-09-03,8.495363742266216,8.611577498856088,8.338728312290149,8.555996894836426,27024
2002-09-04,8.463363122107035,8.505469406296621,8.185461389459395,8.397677421569824,15952
2002-09-05,8.318516896547214,8.505468889794706,8.252831199998823,8.30504322052002,15744
2002-09-06,8.337043802440892,8.337043802440892,8.210724956949363,8.251147270202637,8368
2002-09-09,8.08440531297136,8.101247567043725,7.754292250222822,8.099563598632812,31952
2002-09-10,8.099563598632812,8.099563598632812,8.099563598632812,8.099563598632812,0
2002-09-11,8.005247098415795,8.035563676529195,7.819979692159196,8.000194549560547,18416
2002-09-12,7.9968252000414575,8.000193779784485,7.921033762050584,7.991772651672363,5840
2002-09-13,7.915980522870866,7.951349643349722,7.857031988739439,7.9395599365234375,13520
2002-09-16,7.87387480995754,7.91598109236373,7.78966224514516,7.8873491287231445,17888
2002-09-17,7.996824926012044,8.123143770837933,7.873874660813749,7.9564032554626465,12032
2002-09-18,7.915982791721445,7.915982791721445,7.76439988552186,7.8671393394470215,10544
2002-09-19,7.7896597525786415,7.7896597525786415,7.368597063250067,7.424177646636963,29376
2002-09-20,7.432599950968194,7.558918777804883,7.432599950968194,7.4578633308410645,15792
2002-09-23,7.452809751623829,7.789659909889314,7.452809751623829,7.587549686431885,22560
2002-09-24,7.663341537199352,7.831766625929008,7.644814674640574,7.745870113372803,20912
2002-09-25,7.762713543144627,7.789661535730765,7.70544897858773,7.779555797576904,7776
2002-09-26,7.621236852505184,7.789661976317453,7.604394597120301,7.769451141357422,20320
2002-09-27,7.789661296120019,7.789661296120019,7.698711583005365,7.7728190422058105,19984
2002-09-30,7.727346356016456,7.727346356016456,7.537025749374987,7.601027488708496,23808
2002-10-01,7.579131066897273,7.705449918012228,7.499971047934813,7.627974510192871,16448
2002-10-02,7.627974510192872,7.627974510192872,7.627974510192872,7.627974510192871,0
2002-10-03,7.671765038732633,7.673449649936383,7.631343364715577,7.631343364715576,336
2002-10-04,7.621235579682389,7.621235579682389,7.4107042100779035,7.417441368103027,18128
2002-10-07,6.105413073200291,7.537027173123117,6.105413073200291,7.45281457901001,928
2002-10-08,7.663344965929565,7.735767837885983,7.511762061255433,7.680187225341797,17088
2002-10-09,7.663344627417201,7.685240077678727,7.621238338255568,7.638080596923828,9184
2002-10-10,7.579129460344133,7.617867156042555,7.579129460344133,7.604393482208252,10096
2002-10-11,7.601024434266782,7.789660353746594,7.601024434266782,7.745870113372803,16320
2002-10-14,7.740819475257933,7.740819475257933,7.594289779663086,7.594289779663086,7360
2002-10-15,7.594289779663086,7.594289779663086,7.594289779663086,7.594289779663086,0
2002-10-16,7.601026524674421,7.659975064945332,7.496602478350377,7.5134453773498535,10144
2002-10-17,7.415758329059397,7.4999708947493415,7.415758329059397,7.494918346405029,3312
2002-10-18,7.7475569095158,7.9159820597226656,7.627975207066756,7.629659175872803,6640
2002-10-21,7.786292762677234,7.786292762677234,7.579129954357038,7.6094465255737305,11424
2002-10-22,7.505022947797883,7.505022947797883,7.50333833694458,7.50333833694458,1600
2002-10-23,7.537024790785565,7.621237358280375,7.537024790785565,7.545445919036865,7600
2002-10-24,7.158068278340562,7.703766001550052,7.158068278340562,7.6616597175598145,22960
2002-10-25,7.378706835431004,7.873876597655226,7.378706835431004,7.846928596496582,32976
2002-10-28,7.804820246697815,7.804820246697815,7.636395123240798,7.681869983673096,23472
2002-10-29,7.663344965929565,7.7273467081798675,7.5791323838863836,7.680187225341797,25920
2002-10-30,7.558916732044349,7.7879749121806325,7.558916732044349,7.749236583709717,13984
2002-10-31,7.747555308314555,9.263381346897837,7.747555308314555,9.044428825378418,336448
2002-11-01,9.155588409213133,9.684443112929362,8.321884047514974,8.478519439697266,149168
2002-11-04,8.463360484345941,8.84231692394352,8.463360484345941,8.682312965393066,118592
2002-11-05,8.673893447739589,8.673893447739589,8.13493294967314,8.527363777160645,58016
2002-11-06,8.527363777160645,8.527363777160645,8.527363777160645,8.527363777160645,0
2002-11-07,8.630101894698756,8.631785862902912,8.352200239189491,8.49030876159668,13856
2002-11-08,8.4616773078542,8.4616773078542,8.22082936342197,8.262935638427734,8432
2002-11-11,8.210724158164984,8.42125554683588,8.210724158164984,8.328621864318848,10224
2002-11-12,8.202301423899632,8.454939040801117,8.202301423899632,8.254512786865234,9328
2002-11-13,8.326938367949507,8.404414417643343,8.192198389663767,8.379150390625,2480
2002-11-14,8.503782934592882,8.503782934592882,8.316830985020637,8.417885780334473,7280
2002-11-15,8.421255378672873,8.421255378672873,8.271357135731023,8.310094833374023,7600
2002-11-18,8.257883202143177,8.379149490823517,8.252830654278439,8.330306053161621,5840
2002-11-19,8.330306053161621,8.330306053161621,8.330306053161621,8.330306053161621,0
2002-11-20,8.421255805497326,8.421255805497326,8.215776958246126,8.276410102844238,12640
2002-11-21,8.131565682949935,8.286517148309994,8.008615405893103,8.11640739440918,28496
2002-11-22,8.052405963736177,8.12651279209796,8.013668259649954,8.0423002243042,20784
2002-11-25,7.799768592745977,8.210725709795952,7.799768592745977,8.084406852722168,20144
2002-11-26,8.210725232308327,8.210725232308327,7.922718409126711,8.001877784729004,38288
2002-11-27,8.000191354658897,8.000191354658897,7.836818820345681,7.904189109802246,11440
2002-11-28,8.084403766248283,8.084403766248283,7.83681869530991,7.914294719696045,11728
2002-11-29,7.958087353211372,7.993456476138944,7.873874788627124,7.946297645568848,9280
2002-12-02,7.958088093888839,8.210725811155152,7.958088093888839,8.151777267456055,25360
2002-12-03,8.000193912090788,8.000193912090788,7.926087083991303,7.949666500091553,20000
