,nav,cost,slippage,tax,turnover,n_holdings
2008-09-30,10000000.0,0.0,0.0,0.0,0.0,0
2008-10-01,10097464.467675151,15420.127724998269,18625.734659525144,0.0,10018625.734659526,10
2008-10-03,9773806.135859903,0.0,0.0,0.0,0.0,10
2008-10-06,9228112.0046183,0.0,0.0,0.0,0.0,10
2008-10-07,9231345.244595736,0.0,0.0,0.0,0.0,10
2008-10-08,8761709.659697782,0.0,0.0,0.0,0.0,10
2008-10-10,8416802.981659854,0.0,0.0,0.0,0.0,10
2008-10-13,8868066.452322582,0.0,0.0,0.0,0.0,10
2008-10-14,8911138.218560953,0.0,0.0,0.0,0.0,10
2008-10-15,8647348.53437659,0.0,0.0,0.0,0.0,10
2008-10-16,8745587.901333505,0.0,0.0,0.0,0.0,10
2008-10-17,8623124.665286945,0.0,0.0,0.0,0.0,10
2008-10-20,8621854.228497943,0.0,0.0,0.0,0.0,10
2008-10-21,8763261.982261373,0.0,0.0,0.0,0.0,10
2008-10-22,8400966.99981647,0.0,0.0,0.0,0.0,10
2008-10-23,8148266.381089746,0.0,0.0,0.0,0.0,10
2008-10-24,7516112.11372957,0.0,0.0,0.0,0.0,10
2008-10-27,7089110.414951656,0.0,0.0,0.0,0.0,10
2008-10-29,7723440.118313532,0.0,0.0,0.0,0.0,10
2008-10-31,7911190.9436783735,0.0,0.0,0.0,0.0,10
2008-11-03,8283850.265417305,0.0,0.0,0.0,0.0,10
2008-11-04,8689563.00186757,0.0,0.0,0.0,0.0,10
2008-11-05,8446712.727635765,0.0,0.0,0.0,0.0,10
2008-11-06,8327340.440149762,0.0,0.0,0.0,0.0,10
2008-11-07,8621685.295855248,0.0,0.0,0.0,0.0,10
2008-11-10,8751407.344457643,0.0,0.0,0.0,0.0,10
2008-11-11,8482712.93650089,0.0,0.0,0.0,0.0,10
2008-11-12,8452036.25055688,0.0,0.0,0.0,0.0,10
2008-11-14,8420188.094665883,0.0,0.0,0.0,0.0,10
2008-11-17,8269278.129951069,0.0,0.0,0.0,0.0,10
2008-11-18,8154301.241842086,0.0,0.0,0.0,0.0,10
2008-11-19,7975044.626612525,0.0,0.0,0.0,0.0,10
2008-11-20,7746008.580376261,0.0,0.0,0.0,0.0,10
2008-11-21,7814494.247270426,0.0,0.0,0.0,0.0,10
2008-11-24,7896699.076775529,0.0,0.0,0.0,0.0,10
2008-11-25,7759732.186836863,0.0,0.0,0.0,0.0,10
2008-11-26,7922621.257498142,0.0,0.0,0.0,0.0,10
2008-11-27,7922621.257498142,0.0,0.0,0.0,0.0,10
2008-11-28,8027767.971792832,0.0,0.0,0.0,0.0,10
2008-12-01,7878876.813633265,0.0,0.0,0.0,0.0,10
2008-12-02,7761400.66506288,0.0,0.0,0.0,0.0,10
2008-12-03,7756439.243080871,0.0,0.0,0.0,0.0,10
2008-12-04,7975390.88103694,0.0,0.0,0.0,0.0,10
2008-12-05,7915630.781941954,0.0,0.0,0.0,0.0,10
2008-12-08,7806425.252885603,0.0,0.0,0.0,0.0,10
2008-12-10,8027923.942257873,0.0,0.0,0.0,0.0,10
2008-12-11,8051046.507142267,0.0,0.0,0.0,0.0,10
2008-12-12,8100551.733958026,0.0,0.0,0.0,0.0,10
2008-12-15,8357579.394572558,0.0,0.0,0.0,0.0,10
2008-12-16,8501575.59195203,0.0,0.0,0.0,0.0,10
2008-12-17,8401124.137752645,0.0,0.0,0.0,0.0,10
2008-12-18,8675724.138284983,0.0,0.0,0.0,0.0,10
2008-12-19,8906622.955440039,0.0,0.0,0.0,0.0,10
2008-12-22,8671616.179338107,0.0,0.0,0.0,0.0,10
2008-12-23,8446659.102852851,0.0,0.0,0.0,0.0,10
2008-12-24,8525406.113222273,0.0,0.0,0.0,0.0,10
2008-12-26,8487086.835818745,0.0,0.0,0.0,0.0,10
2008-12-29,8577075.26680299,0.0,0.0,0.0,0.0,10
2008-12-30,8681447.975129524,0.0,0.0,0.0,0.0,10
2008-12-31,8711748.243859692,0.0,0.0,0.0,0.0,10
2009-01-02,8946946.307699477,16498.37809031943,24306.63136733191,15839.246421054391,11211818.615006808,10
2009-01-05,9145593.226818174,0.0,0.0,0.0,0.0,10
2009-01-06,9136809.257813716,0.0,0.0,0.0,0.0,10
2009-01-07,8679810.874190493,0.0,0.0,0.0,0.0,10
2009-01-09,8541277.13444725,0.0,0.0,0.0,0.0,10
2009-01-12,8147608.441055486,0.0,0.0,0.0,0.0,10
2009-01-13,8042860.625088466,0.0,0.0,0.0,0.0,10
2009-01-14,8176569.705755185,0.0,0.0,0.0,0.0,10
2009-01-15,8006145.249040598,0.0,0.0,0.0,0.0,10
2009-01-16,8062872.79093872,0.0,0.0,0.0,0.0,10
2009-01-19,8078677.359165407,0.0,0.0,0.0,0.0,10
2009-01-20,7999825.323088029,0.0,0.0,0.0,0.0,10
2009-01-21,8011892.191720224,0.0,0.0,0.0,0.0,10
2009-01-22,7642153.990317189,0.0,0.0,0.0,0.0,10
2009-01-23,7454215.3818129925,0.0,0.0,0.0,0.0,10
2009-01-27,7681273.436165662,0.0,0.0,0.0,0.0,10
2009-01-28,7932695.378362676,0.0,0.0,0.0,0.0,10
2009-01-29,7875420.772416018,0.0,0.0,0.0,0.0,10
2009-01-30,8137132.795862342,0.0,0.0,0.0,0.0,10
2009-02-02,7878275.639774232,0.0,0.0,0.0,0.0,10
2009-02-03,7883377.661618197,0.0,0.0,0.0,0.0,10
2009-02-04,7914587.758599241,0.0,0.0,0.0,0.0,10
2009-02-05,8018752.959251403,0.0,0.0,0.0,0.0,10
2009-02-06,8357135.938675394,0.0,0.0,0.0,0.0,10
2009-02-09,8469122.809090076,0.0,0.0,0.0,0.0,10
2009-02-10,8516570.392232304,0.0,0.0,0.0,0.0,10
2009-02-11,8482341.331522895,0.0,0.0,0.0,0.0,10
2009-02-12,8364388.941711486,0.0,0.0,0.0,0.0,10
2009-02-13,8724813.715890523,0.0,0.0,0.0,0.0,10
2009-02-16,8378907.583879881,0.0,0.0,0.0,0.0,10
2009-02-17,8109190.5057488745,0.0,0.0,0.0,0.0,10
2009-02-18,8062376.199295417,0.0,0.0,0.0,0.0,10
2009-02-19,8062055.129215575,0.0,0.0,0.0,0.0,10
2009-02-20,7922646.818051128,0.0,0.0,0.0,0.0,10
2009-02-24,7783454.482386492,0.0,0.0,0.0,0.0,10
2009-02-25,7838868.896642633,0.0,0.0,0.0,0.0,10
2009-02-26,7857221.951440329,0.0,0.0,0.0,0.0,10
2009-02-27,7849471.985789567,0.0,0.0,0.0,0.0,10
2009-03-02,7583251.921885838,0.0,0.0,0.0,0.0,10
2009-03-03,7464843.298610242,0.0,0.0,0.0,0.0,10
2009-03-04,7551866.6003985265,0.0,0.0,0.0,0.0,10
2009-03-05,7384316.648098009,0.0,0.0,0.0,0.0,10
2009-03-06,7363606.578533571,0.0,0.0,0.0,0.0,10
2009-03-09,7208803.659940653,0.0,0.0,0.0,0.0,10
2009-03-12,7327496.529344952,0.0,0.0,0.0,0.0,10
2009-03-13,7616551.421367547,0.0,0.0,0.0,0.0,10
2009-03-16,7788590.854308226,0.0,0.0,0.0,0.0,10
2009-03-17,7718986.809604545,0.0,0.0,0.0,0.0,10
2009-03-18,7890698.38351892,0.0,0.0,0.0,0.0,10
2009-03-19,7910406.336266813,0.0,0.0,0.0,0.0,10
2009-03-20,7870145.073625087,0.0,0.0,0.0,0.0,10
