,nav,cost,slippage,tax,turnover,n_holdings
1997-04-15,1000000.0,0.0,0.0,0.0,0.0,0
1997-04-16,976014.0590012877,30.120069885083957,4002.329502798464,0.0,1004002.3295027985,10
1997-04-17,983066.4239069016,0.0,0.0,0.0,0.0,10
1997-04-18,974034.1773163283,0.0,0.0,0.0,0.0,10
1997-04-21,941481.696588207,0.0,0.0,0.0,0.0,10
1997-04-22,966084.1822876476,0.0,0.0,0.0,0.0,10
1997-04-23,975844.9730726451,0.0,0.0,0.0,0.0,10
1997-04-24,981900.204473702,0.0,0.0,0.0,0.0,10
1997-04-25,957151.8968969285,0.0,0.0,0.0,0.0,10
1997-04-28,966508.075233862,0.0,0.0,0.0,0.0,10
1997-04-29,997932.507474719,0.0,0.0,0.0,0.0,10
1997-04-30,1023464.8527976301,0.0,0.0,0.0,0.0,10
1997-05-01,1033688.600012766,0.0,0.0,0.0,0.0,10
1997-05-02,1080330.6256109555,0.0,0.0,0.0,0.0,10
1997-05-05,1104829.9598929614,0.0,0.0,0.0,0.0,10
1997-05-06,1089871.3659370395,0.0,0.0,0.0,0.0,10
1997-05-07,1080266.8216906013,0.0,0.0,0.0,0.0,10
1997-05-08,1081409.6841896537,0.0,0.0,0.0,0.0,10
1997-05-09,1080480.2244397933,0.0,0.0,0.0,0.0,10
1997-05-12,1063469.867296773,0.0,0.0,0.0,0.0,10
1997-05-13,1053785.5322282077,0.0,0.0,0.0,0.0,10
1997-05-14,1088273.8369856465,0.0,0.0,0.0,0.0,10
1997-05-15,1100661.000915876,0.0,0.0,0.0,0.0,10
1997-05-16,1083541.3913757287,0.0,0.0,0.0,0.0,10
1997-05-19,1078442.4574592116,0.0,0.0,0.0,0.0,10
1997-05-20,1124207.2777257627,0.0,0.0,0.0,0.0,10
1997-05-21,1103764.125272915,0.0,0.0,0.0,0.0,10
1997-05-22,1103951.6163394107,0.0,0.0,0.0,0.0,10
1997-05-23,1126539.9289947452,0.0,0.0,0.0,0.0,10
1997-05-27,1152232.2228572771,0.0,0.0,0.0,0.0,10
1997-05-28,1154538.0544605847,0.0,0.0,0.0,0.0,10
1997-05-29,1126976.6461839331,0.0,0.0,0.0,0.0,10
1997-05-30,1122755.5849491,0.0,0.0,0.0,0.0,10
1997-06-02,1140647.571982101,0.0,0.0,0.0,0.0,10
1997-06-03,1109434.8789706654,0.0,0.0,0.0,0.0,10
1997-06-04,1108823.5374177385,0.0,0.0,0.0,0.0,10
1997-06-05,1120047.4996993856,0.0,0.0,0.0,0.0,10
1997-06-06,1140586.221418297,0.0,0.0,0.0,0.0,10
1997-06-09,1170670.6376853562,0.0,0.0,0.0,0.0,10
1997-06-10,1143685.7704342448,0.0,0.0,0.0,0.0,10
1997-06-11,1154586.5562158693,0.0,0.0,0.0,0.0,10
1997-06-12,1161057.9782348268,0.0,0.0,0.0,0.0,10
1997-06-13,1199219.6175623904,0.0,0.0,0.0,0.0,10
1997-06-16,1198376.4232593502,0.0,0.0,0.0,0.0,10
1997-06-17,1207503.8262658187,0.0,0.0,0.0,0.0,10
1997-06-18,1188163.5113125427,0.0,0.0,0.0,0.0,10
1997-06-19,1204531.5705116254,0.0,0.0,0.0,0.0,10
1997-06-20,1206013.7005514328,0.0,0.0,0.0,0.0,10
1997-06-23,1199660.7288386354,0.0,0.0,0.0,0.0,10
1997-06-24,1216189.4845291162,0.0,0.0,0.0,0.0,10
1997-06-25,1205159.5041853518,0.0,0.0,0.0,0.0,10
1997-06-26,1187016.993920905,0.0,0.0,0.0,0.0,10
1997-06-27,1169134.75411728,0.0,0.0,0.0,0.0,10
1997-06-30,1168925.3411343715,0.0,0.0,0.0,0.0,10
1997-07-01,1139259.6289799132,25.35093431167558,554.5141269945102,38013.66710103163,845031.1437225193,10
1997-07-02,1134026.2839242131,0.0,0.0,0.0,0.0,10
1997-07-03,1153693.4684061753,0.0,0.0,0.0,0.0,10
1997-07-07,1151824.135764891,0.0,0.0,0.0,0.0,10
1997-07-08,1163167.7876669015,0.0,0.0,0.0,0.0,10
1997-07-09,1156409.4551383487,0.0,0.0,0.0,0.0,10
1997-07-10,1171755.6663119744,0.0,0.0,0.0,0.0,10
1997-07-11,1173601.1838790413,0.0,0.0,0.0,0.0,10
1997-07-14,1182179.6650495431,0.0,0.0,0.0,0.0,10
1997-07-15,1206751.9103263933,0.0,0.0,0.0,0.0,10
1997-07-16,1235107.7478687507,0.0,0.0,0.0,0.0,10
1997-07-17,1215035.6555648455,0.0,0.0,0.0,0.0,10
1997-07-18,1214083.1099411591,0.0,0.0,0.0,0.0,10
1997-07-21,1197140.4373965121,0.0,0.0,0.0,0.0,10
1997-07-22,1241717.1554928066,0.0,0.0,0.0,0.0,10
1997-07-23,1243749.6943363473,0.0,0.0,0.0,0.0,10
1997-07-24,1237477.4175576158,0.0,0.0,0.0,0.0,10
1997-07-25,1250778.6114515343,0.0,0.0,0.0,0.0,10
1997-07-28,1247770.5045678313,0.0,0.0,0.0,0.0,10
1997-07-29,1238802.5232093448,0.0,0.0,0.0,0.0,10
1997-07-30,1249627.4255752582,0.0,0.0,0.0,0.0,10
